employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,is_primary,address_source,address_trust
A WORLD OF WIPES,1000 WINTER ST,WALTHAM,MA,02451,42.4076951,-71.2741569,True,ai,uncorroborated
A&B STORE FIXTURES INC,6202 SWING CT,GREENSBORO,NC,27409,36.0712577,-79.9083652,True,ai,grounded
A&E,235 E 45TH ST,NEW YORK,NY,10017,40.7522239,-73.9713998,True,ai,corroborated
A&E REAL ESTATE,1065 AVE OF THE AMERICAS 31ST FLOOR,NEW YORK,NY,10018,40.7540547,-73.9854937,True,ai,grounded
A&W TECH CONSULTING,19206 HABITAT CV,SAN ANTONIO,TX,78258,29.6210569,-98.5146258,True,ai,grounded
A-STREET,,,,,,,True,,
A.L.P,6333 GROSS POINT RD,NILES,IL,60714,42.0193738,-87.7754149,True,ai,grounded
A.R.CONSULTANTS,,,,,,,True,,
A.T.N,,,,,,,True,,
AA ALL METAL RECYCLING,1226 49TH AVE,OAKLAND,CA,94601,37.7686215,-122.2104519,True,manual,verified
AAAASF,33 W DIVISION ST STE 302,BURR RIDGE,IL,60527,41.743074,-87.929214,True,ai,uncorroborated
AAG,3000 KELLWAY DR,CARROLLTON,TX,75006,32.971812,-96.843871,True,ai,uncorroborated
AAG MANAGEMENT,,,,,,,True,,
AARA,242 OLD NEW BRUNSWICK RD STE 440,PISCATAWAY,NJ,08854,40.553085,-74.474676,True,ai,grounded
AARON ELKIN MD,1309 N FEDERAL HWY,HOLLYWOOD,FL,33020,26.0227866,-80.143146,True,ai,grounded
AARON WEALTH ADVISORS,515 N STATE ST STE 1770,CHICAGO,IL,60654,41.8914005,-87.627297,True,ai,grounded
AB BERNSTEIN,745 5TH AVE,NEW YORK,NY,10151,40.7633245,-73.9733602,True,ai,uncorroborated
AB INITIO SOFTWARE,201 SPRING ST,LEXINGTON,MA,02421,42.419352464967,-71.25160477816,True,manual,verified
AB PRIVATE CREDIT INVESTORS,1345 AVE OF THE AMERICAS 22ND FLOOR,NEW YORK,NY,10105,40.7629997,-73.9790535,True,ai,uncorroborated
ABBA CAPITAL ENTERPRISES,,,,,,,True,,
ABBIE FRIEDMAN ATTORNEY AT LAW,5875 S RAINBOW BLVD #203,LAS VEGAS,NV,89118,36.0820418,-115.2433306,True,ai,grounded
"ABBOTT LEE STILLMAN, ARTIST LLC",11 BIRCHALL DR,SCARSDALE,NY,10583,40.9957172,-73.7815055,True,ai,grounded
ABBVIE,1 N WAUKEGAN RD,NORTH CHICAGO,IL,60064,42.3015593,-87.8902499,True,ai,uncorroborated
ABC,77 W 66TH ST,NEW YORK,NY,10023,40.77354,-73.9805847,True,ai,corroborated
ABC DOORS,5100 S WILLOW DR,HOUSTON,TX,77035,29.6576018,-95.4674247,True,ai,grounded
ABC PACIFIC CORP,990 VISTOSO COMMERCE LOOP,ORO VALLEY,AZ,85755,32.4271751,-110.9469742,True,ai,uncorroborated
ABC SALES & MARKETING,10467 E TARRAGON AVE,MESA,AZ,85212,33.3188465,-111.6029549,True,ai,grounded
ABC/DISNEY,500 S BUENA VISTA ST,BURBANK,CA,91521,34.1551262,-118.3265025,True,ai,corroborated
ABE''S VEGAN MUFFINS LLC,389 W NYACK RD,WEST NYACK,NY,10994,41.0953907,-73.987703,True,ai,grounded
ABECAP,319 W SIMPSON ST STE 109,TUCSON,AZ,85711,32.2156569,-110.9746502,True,ai,grounded
ABIR COHEN TREYZON SALO LLP,,,,,,,True,,
ABOVE ALL ADVERTISING,6980 CORTE SANTA FE,SAN DIEGO,CA,92121,32.879738,-117.170571,True,ai,grounded
ABRAHAM CAPITAL,2550 NORTHWINDS PKWY SE STE 300,ALPHARETTA,GA,30009,34.078136,-84.303424,True,ai,uncorroborated
ABRAHAM ZERYKIER MD,16 ROSS AVE,STATEN ISLAND,NY,10306,40.5736101,-74.1211384,True,ai,grounded
ABRAMS & ASSOCIATES,,,,,,,True,,
ABRAMS CAPITAL LLC,200 W 57TH ST,NEW YORK,NY,10019,40.7654312,-73.9804189,True,ai,uncorroborated
ABRAMS ENTERTAINMENT,5225 WILSHIRE BLVD STE 515,LOS ANGELES,CA,90036,34.0621109,-118.343279,True,ai,grounded
ABRO MANAGEMENT CORP,44 WALL ST,NEW YORK,NY,10005,40.706794,-74.0093855,True,ai,corroborated
ABROMS & ASSOCIATES PC,201 S CT ST STE 610,FLORENCE,AL,35630,34.7988566,-87.6745785,True,ai,grounded
ABROMS & BRANDNER,1817 OXMOOR RD,HOMEWOOD,AL,35209,33.4773441,-86.7912921,True,ai,grounded
ABS - ALTMAN WARWICK,1350 AVE OF THE AMERICAS,NEW YORK,NY,10019,40.7627635,-73.9779699,True,ai,corroborated
ABSOLUTE REALTY,,PALM BEACH GARDENS,FL,33410,,,True,manual,verified
ABUNDANT VENTURE PARTNERS,515 N STATE ST STE 300,CHICAGO,IL,60654,41.8914005,-87.627297,True,manual,verified
AC DISASTER CONSULTING,1800 GLENARM PL STE 300,DENVER,CO,80202,39.7457122,-104.9876957,True,ai,grounded
ACA FINANCIAL GUARANTY,199 WATER ST,NEW YORK,NY,10038,40.7068659,-74.0043534,True,ai,corroborated
ACADEMIC ENGAGEMENT NETWORK,1121 L ST NW STE 900,WASHINGTON,DC,20005,38.903816,-77.0273535,True,ai,corroborated
ACADEMY OF GENERAL DENTISTRY,560 W LAKE ST STE 1300,CHICAGO,IL,60661,41.8856189,-87.6418733,True,ai,corroborated
ACADEMY OF SOUTH FLORIDA,3721 NW 7 ST STE 3721-1,MIAMI,FL,33126,25.779492,-80.299573,True,ai,grounded
ACADEMY PARTNERS GROUP,260 JOSEPHINE ST STE 300,DENVER,CO,80206,39.7204526,-104.9581395,True,ai,grounded
ACADEMY SERVICES LLC,,,,,,,True,,
ACADIA CAPITAL GROUP,601 LEXINGTON AVE,NEW YORK,NY,10022,40.7587794,-73.9704834,True,ai,uncorroborated
ACADIA.IO LLC,100 CRESCENT CT STE 700,DALLAS,TX,75201,32.7939116,-96.8033152,True,ai,uncorroborated
ACASI,7085 NW 46TH ST,MIAMI,FL,33166,25.8158256,-80.3123439,True,ai,grounded
ACCENTURE,161 N CLARK ST,CHICAGO,IL,60601,41.8840655,-87.6331462,True,ai,grounded
ACCESS ENTERTAINMENT,40 W 57TH ST 28TH FLOOR,NEW YORK,NY,10019,40.7636059,-73.9758803,True,ai,grounded
ACCESS FUND,44 MONTGOMERY ST STE 3705,SAN FRANCISCO,CA,94104,37.789625602381,-122.402032436717,True,manual,verified
ACCESSO PARTNERS,100 N FEDERAL HWY STE 400,HALLANDALE BEACH,FL,33009,25.986555244623,-80.142258026383,True,manual,verified
ACCESSORY EXCHANGE,1 E 33RD ST 6TH FLOOR,NEW YORK,NY,10016,40.7477269,-73.9844071,True,ai,grounded
ACCIN OPPORTUNITY FUND,111 W ST JOHN ST STE 800,SAN JOSE,CA,95113,37.3373451,-121.8940619,True,ai,grounded
ACCOUNTNET INC,1333 BROADWAY STE 303,NEW YORK,NY,10018,40.7512127,-73.9879717,True,ai,grounded
ACCURATE DIAMOND TOOL,910 N HUNT AVE,POMONA,CA,91768,34.0354241,-117.7369303,True,ai,uncorroborated
ACCURATE PERFORATING,3636 S KEDZIE AVE,CHICAGO,IL,60623,41.82698,-87.7046361,True,ai,corroborated
ACDD,,,,,,,True,,
ACE GLOBAL,20231 NE 15TH CT,MIAMI,FL,33179,25.9618608,-80.1709767,True,ai,grounded
ACE GUARANTY RE,1633 BROADWAY,NEW YORK,NY,10019,40.762093,-73.9846559,True,ai,grounded
ACE UNIFORM SERVICES,2400 S 54TH ST,TULSA,OK,74107,36.0847771,-96.1270538,True,ai,uncorroborated
ACHIEVE BEHAVIORAL HEALTH,25 ROBERT PITT DR STE 101,MONSEY,NY,10952,41.110622,-74.0657849,True,ai,grounded
ACKERMAN & ACKERMAN PC,1000 WILSHIRE BLVD STE 1500,LOS ANGELES,CA,90017,34.051474,-118.261657,True,ai,uncorroborated
ACKMAN-ZIFF REAL ESTATE GROUP,582 8TH AVE 19TH FLOOR,NEW YORK,NY,10018,40.7549494,-73.9913313,True,ai,corroborated
ACME RESIDENTIAL,200 STATE ST,BOSTON,MA,02109,42.3595921,-71.0530504,True,ai,uncorroborated
ACON INVESTMENTS,1133 CONNECTICUT AVE NW STE 700,WASHINGTON,DC,20036,38.904948,-77.0401971,True,ai,uncorroborated
ACP,190 N INDEPENDENCE MALL W,PHILADELPHIA,PA,19106,39.946649,-75.142232,True,ai,grounded
ACPOWERS LLC,915 BROADWAY STE 801,NEW YORK,NY,10010,40.7397099,-73.9897732,True,ai,grounded
ACQUAVIVA WINERY,47W614 ROUTE 38,MAPLE PARK,IL,60151,41.918006,-88.577108,True,ai,grounded
ACRISURE,100 OTTAWA AVE SW,GRAND RAPIDS,MI,49503,42.95978,-85.672755,True,ai,grounded
ACROMAG,30765 PACIFIC CT,HARRISON TOWNSHIP,MI,48045,42.587101,-82.817239,True,ai,corroborated
ACTA CAPITAL LLC,600 STEAMBOAT RD,GREENWICH,CT,06830,41.0160631,-73.623218,True,ai,corroborated
ACTA REALTY CORP,ONE STATE ST PLAZA 29TH FLOOR,NEW YORK,NY,10004,40.7028098,-74.0133384,True,ai,grounded
ACTIO CORPORATE ASSET ADVISORS,125 MAIDEN LN #207,NEW YORK,NY,10038,40.7065909,-74.0062389,True,ai,grounded
ACTION BEHAVIOR CENTERS,2100 KRAMER LN STE 150,AUSTIN,TX,78758,30.390128,-97.711678,True,ai,grounded
ACTION PLUS IDEAS,5222 MONROE RD STE 100,CHARLOTTE,NC,28205,35.1906014,-80.7750803,True,ai,grounded
ACTIONIQ INC,55 PROSPECT ST,SAN FRANCISCO,CA,94110,37.750021,-122.415201,True,ai,uncorroborated
ACTIONIST CONSULTING,1925 CENTURY PARK EAST STE 1250,LOS ANGELES,CA,90067,34.0612599,-118.4145504,True,ai,grounded
ACTIVEST WEALTH MANAGEMENT,300 MADISON AVE 6TH FLOOR,NEW YORK,NY,10017,40.7526831,-73.9800764,True,ai,uncorroborated
ACTIVEST WM,20900 NE 30TH AVE STE 311,AVENTURA,FL,33180,25.9694879,-80.142689,True,ai,grounded
ACTUM,767 S ALAMEDA ST STE 490,LOS ANGELES,CA,90021,34.0306645,-118.238978,True,ai,grounded
ACUITY CAPITAL LLC,12720 HANOVER ST,LOS ANGELES,CA,90049,34.053049048779,-118.485391657979,True,ai,grounded
ACUMETIS,,,,,,,True,,
ACXION FOODSERVICE,1701 CROSSROADS DR,ODENTON,MD,21113,39.095201,-76.694948,True,ai,grounded
AD SHANKMAN LLC,,,,,,,True,,
ADA,401 N MICHIGAN AVE STE 3300,CHICAGO,IL,60611,41.8894215,-87.6235164,True,ai,grounded
ADAD,,,,,,,True,,
ADAM L PECK CPA MST LLC,630 SILVER ST STE 9B,AGAWAM,MA,01001,42.0564408,-72.651338,True,ai,grounded
ADAM LEITMAN BAILEY PC,1 PENN PLAZA STE 2527,NEW YORK,NY,10119,40.7510985,-73.9919723,True,ai,corroborated
ADAMS AND COMPANY REAL ESTATE,411 FIFTH AVE,NEW YORK,NY,10016,40.75051316266,-73.982965139033,True,ai,grounded
ADAMS BEVERAGES,7505 STATESVILLE RD,CHARLOTTE,NC,28269,35.3214482,-80.8424604,True,ai,grounded
ADAMS COUNTY,4430 S ADAMS COUNTY PKWY STE C100,BRIGHTON,CO,80601,39.9238386,-104.8131691,True,ai,corroborated
ADAPTHEALTH,5 WALNUT GROVE DR STE 200,MOUNT LAUREL,NJ,08054,39.948992,-74.900247,True,ai,corroborated
ADAPTIVE BIO,ONE KENDALL SQ BUILDING 600 STE 380,CAMBRIDGE,MA,02139,42.362391,-71.102336,True,ai,uncorroborated
ADATH ISRAEL CONGREGATION,,,,,,,True,,
ADATH JESHURUN,,,,,,,True,,
ADC THERAPEUTICS,430 MOUNTAIN AVE STE 404,NEW PROVIDENCE,NJ,07974,40.6904653,-74.3927592,True,manual,verified
ADDCA,1971 WESTERN AVE #106,ALBANY,NY,12203,42.6953994,-73.8794332,True,ai,grounded
ADDISON HOUSE,6300 BLUE LAGOON DR,MIAMI,FL,33126,25.7832046,-80.2935816,True,ai,corroborated
ADDISON RESERVE CC,,,,,,,True,,
ADDITION,101 MONTGOMERY ST STE 600,SAN FRANCISCO,CA,94104,37.7902982,-122.4024772,True,ai,uncorroborated
ADDITION MANAGEMENT LLC,469 SEVENTH AVE,NEW YORK,NY,10022,40.750704853528,-73.990744178266,True,ai,grounded
ADELPHI CAPITAL,1054 31ST ST NW STE 316,WASHINGTON,DC,20007,38.9044669,-77.0613029,True,ai,grounded
ADELPHI DATA INC,6713 WEMBERLY WAY,MCLEAN,VA,22101,38.9601037,-77.1763998,True,ai,grounded
ADEMCO INC,2 CORPORATE CENTER DR,MELVILLE,NY,11747,40.774728290155,-73.412583045052,True,ai,grounded
ADFAM,,,,,,,True,,
ADG,11969 VENTURA BLVD,STUDIO CITY,CA,91604,34.1434057,-118.3921517,True,ai,grounded
ADH,4815 W MARKHAM ST,LITTLE ROCK,AR,72205,34.7511456,-92.3264831,True,ai,grounded
ADI MANAGEMENT INC,172-90 HIGHLAND AVE STE 1,JAMAICA,NY,11432,40.714934,-73.792955,True,ai,grounded
ADINA DESIGN INC,14140 VENTURA BLVD STE 209,SHERMAN OAKS,CA,91423,34.1496116,-118.4413326,True,ai,grounded
ADINA STRAUS INVESTMENTS,,,,,,,True,,
ADIVUR US HOLDINGS,20900 NE 30TH AVE STE 203,AVENTURA,FL,33180,25.962149,-80.140904,True,ai,grounded
ADJMI APPAREL,463 SEVENTH AVE 4TH FLOOR,NEW YORK,NY,10018,40.751682379431,-73.990030247514,True,ai,grounded
ADLER & STACHENFELD,675 THIRD AVE 31ST FLOOR,NEW YORK,NY,10017,40.751539459041,-73.973802288423,True,ai,corroborated
ADLER ASSET MANAGEMENT,142 W 57TH ST 5TH FLOOR,NEW YORK,NY,10019,40.7648071,-73.9792438,True,ai,corroborated
ADLER LAW GROUP,1 S CHURCH AVE,HENDERSON,NV,89015,36.03889,-114.928316,True,ai,uncorroborated
ADLER PROPERTIES,9050 PINES BLVD STE 101,PEMBROKE PINES,FL,33024,26.0084976,-80.2648614,True,ai,grounded
ADLER REAL ESTATE PARTNERS,800 BRICKELL AVE STE 701,MIAMI,FL,33131,25.7656854,-80.1911884,True,ai,grounded
ADMIRAL CRAFT EQUIPMENT,,,,,,,True,,
ADMIRAL PACKAGING,10 ADMIRAL ST,PROVIDENCE,RI,02908,41.8405647,-71.4182392,True,ai,grounded
ADMIRAL SECURITY SERVICES INC,,,,,,,True,,
ADOBE,345 PARK AVE,SAN JOSE,CA,95110,37.3294709,-121.8947723,True,ai,corroborated
ADONEL CONCRETE,242 NW 42ND AVE,MIAMI,FL,33126,25.7738455,-80.2640247,True,ai,grounded
ADP,1 ADP BLVD,ROSELAND,NJ,07068,40.8156767,-74.310335,True,ai,corroborated
ADR REALTY TRUST,ONE FINANCIAL CENTER,BOSTON,MA,02111,42.3524096,-71.0563898,True,ai,corroborated
ADS THAT WORK,,,,,,,True,,
ADT,1501 YAMATO RD STE 100,BOCA RATON,FL,33431,26.3940803,-80.1175877,True,ai,grounded
ADV,7676 FORSYTH BLVD FIFTH FLOOR,SAINT LOUIS,MO,63105,38.644292,-90.32807,True,ai,grounded
ADVAMED,701 PENNSYLVANIA AVE NW STE 800,WASHINGTON,DC,20004,38.8936824,-77.0219151,True,ai,uncorroborated
ADVANCE,,,,,,,True,,
ADVANCE CAR WASH,2100 112TH AVE NE STE 110,BELLEVUE,WA,98004,47.6291214,-122.1903473,True,ai,uncorroborated
ADVANCE NUTRITION,,,,,,,True,,
ADVANCE PACKAGING TECHNOLOGIES,5720 WILLIAMS LAKE RD,WATERFORD TOWNSHIP,MI,48329,42.6892763,-83.4031871,True,ai,grounded
ADVANCE PUBLICATIONS INC,1 WORLD TRADE CTR 62ND FL,NEW YORK,NY,10007,40.713868,-74.007866,True,ai,corroborated
ADVANCED EYE CARE CONSULTANTS,316 PETERSON RD,LIBERTYVILLE,IL,60048,42.305917,-87.9689831,True,ai,grounded
ADVANCED EYE MDS,1260 STATE RTE 28 STE 8,BRANCHBURG,NJ,08876,40.60654804967,-74.694320957887,True,manual,verified
ADVANCED GASTROENTEROLOGY GROUP,1308 MORRIS AVE STE 102,UNION,NJ,07083,40.6872518,-74.2425705,True,ai,grounded
ADVANCED GYNECOLOGY AND SURGERY,1711 SHEEPSHEAD BAY RD 1ST FLOOR,BROOKLYN,NY,11235,40.5857321,-73.9513175,True,ai,grounded
ADVANCED HUMAN RESOURCES,,,,,,,True,,
ADVANCED MEDICAL TRANSPORT,3350 SW 148TH AVE SUITE 110 #353,MIRAMAR,FL,33027,25.9768579,-80.3451421,True,ai,grounded
ADVANCED NUTRIENTS,2000 LARCH AVE,OXNARD,CA,93033,34.160093,-119.135801,True,ai,corroborated
ADVANCED NUTRITION,844 FIRST COLONIAL RD STE 205,VIRGINIA BEACH,VA,23451,36.8549345,-76.023493,True,ai,grounded
ADVANCED ORTHO AND SPINE,5651 FRIST BLVD STE 200,HERMITAGE,TN,37076,36.1781976,-86.6059232,True,ai,grounded
ADVANCED PHYSICIAN SERVICES,,,,,,,True,,
ADVANCED RADIOLOGY,,,,,,,True,,
ADVANCED UROLOGY CENTERS OF NEW YORK,,,,,,,True,,
ADVANTAGE CAPITAL,1 FINANCIAL PLAZA STE 1900,PROVIDENCE,RI,02903,41.8253152,-71.4101156,True,ai,uncorroborated
ADVANTAGE FOOD & BEVERAGE,682 N CASSADY AVE,COLUMBUS,OH,43219,39.9846741,-82.9315219,True,ai,grounded
ADVANTAGE WAYPOINT,300 SPICE ISLAND AVE STE 200,NEWPORT,RI,02840,41.476681,-71.319627,True,ai,uncorroborated
ADVARRA,500 MAMARONECK AVE STE 301,HARRISON,NY,10528,40.9770766,-73.7420223,True,ai,corroborated
ADVECTION GROWTH CAPITAL,320 PARK AVE FL 22,NEW YORK,NY,10022,40.7575952,-73.9739924,True,ai,grounded
ADVENTHEALTH,8000 W PALMETTO PARK RD,BOYNTON BEACH,FL,33472,26.539753,-80.18903,True,ai,uncorroborated
ADVENTIST,12501 OLD COLUMBIA PIKE,SILVER SPRING,MD,20904,39.0610486,-76.9658789,True,ai,grounded
ADVISOR PERSPECTIVES INC,225 LIBERTY ST STE 2310,NEW YORK,NY,10281,40.712272,-74.0154361,True,ai,grounded
ADVISORY RESEARCH INC,10233 ALLIANCE RD,CINCINNATI,OH,45242,39.242803,-84.352996,True,ai,uncorroborated
ADVOCARE,8020 N SPRING CREEK PKWY,PLANO,TX,75024,33.077854,-96.811028,True,ai,uncorroborated
ADVOCARE GROVE FAMILY MEDICAL ASSOCIATES,132 GROVE ST STE A,HADDONFIELD,NJ,08033,39.9029342,-75.0319618,True,manual,verified
ADVOCARE MAIN LINE PEDIATRICS,701 MONTGOMERY AVE STE 18,NARBERTH,PA,19072,40.0098679,-75.2552146,True,ai,grounded
ADVOCATE AURORA HEALTHCARE,3075 HIGHLAND PKWY,DOWNERS GROVE,IL,60515,41.8326452,-88.0053115,True,ai,corroborated
ADVOCATE BROKERAGE CORP,820 SCARSDALE AVE,SCARSDALE,NY,10583,40.9848255,-73.809067,True,ai,grounded
ADVOCATE HEALTH,3075 HIGHLAND PKWY,DOWNERS GROVE,IL,60515,41.8326452,-88.0053115,True,ai,corroborated
ADVOCATE HEALTH CAROLINAS MEDICAL CENT,,,,,,,True,,
ADVOCATE ILLINOIS MASONIC MEDICAL CENT,,,,,,,True,,
ADVOCATE LLP,805 THIRD AVE STE 2030,NEW YORK,NY,10022,40.75574801576,-73.970729798313,True,ai,grounded
ADVOCATE RADIATION,3080 HARBOR BLVD,PORT CHARLOTTE,FL,33952,26.9860731,-82.0961487,True,ai,grounded
AECD GROUP,,,,,,,True,,
AECOM CAPITAL,1999 AVE OF THE STARS 8TH FLOOR,LOS ANGELES,CA,90067,34.056437,-118.41369,True,ai,corroborated
AEG,800 W OLYMPIC BLVD,LOS ANGELES,CA,90015,34.0446975,-118.2646054,True,ai,corroborated
AEGIS,40 BROAD ST,NEW YORK,NY,10004,40.7059374,-74.011542,True,ai,uncorroborated
AEI SEMINARS,111 E MERRILL ST STE 300,BIRMINGHAM,MI,48009,42.5453351,-83.2146869,True,ai,grounded
AEIG,2250 CHAPEL AVE WEST STE 200,CHERRY HILL,NJ,08002,39.9292672,-75.0175678,True,ai,grounded
AEPI FOUNDATION,8815 WESLEYAN RD,INDIANAPOLIS,IN,46268,39.9142741,-86.2220986,True,ai,grounded
AER SERVICES INC,2743 HOLLYWOOD BLVD,HOLLYWOOD,FL,33020,26.0111653,-80.1548249,True,ai,grounded
AEROPAY,275 GROVE ST,NEWTON,MA,02466,42.3390916,-71.2513667,True,ai,uncorroborated
AEROSTRAT,999 3RD AVE STE 700,SEATTLE,WA,98104,47.6050344,-122.3340723,True,ai,grounded
AES MANAGEMENT CORP,539 EASTERN PKWY,BROOKLYN,NY,11216,40.6702778,-73.9501597,True,ai,grounded
AETION,5 PENN PLAZA 7TH FLOOR,NEW YORK,NY,10001,40.74913556031,-73.991894085147,True,ai,grounded
AEYE STRATEGIC SOLUTIONS,20 W 46TH ST STE 600,NEW YORK,NY,10036,40.7563287,-73.9803339,True,ai,grounded
AFC,,,,,,,True,,
