employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,address_source,address_trust
ACRISURE/OSG,2001 Market St,Philadelphia,PA,19103,39.953671,-75.173318,ai,corroborated
ACROMAG,30765 Pacific Court,Harrison Township,MI,48045,42.5886235,-82.8217131,ai,corroborated
ACTA CAPITAL LLC,600 Steamboat Rd,Greenwich,CT,06830,41.0160631,-73.623218,ai,corroborated
ACTA REALTY CORP,"One State Street Plaza, 29th Floor",New York,NY,10004,40.7028098,-74.0133384,ai,grounded
ACTIO CORPORATE ASSET ADVISORS,125 Maiden Lane #207,New York,NY,10038,40.7065909,-74.0062389,ai,grounded
ACTION BEHAVIOR CENTERS,"2100 Kramer Lane, Suite 150",Austin,TX,78758,30.390128,-97.711678,ai,grounded
ACTION PLUS IDEAS,"5222 Monroe Rd, Suite 100",Charlotte,NC,28205,35.1906014,-80.7750803,ai,grounded
ACTIONIQ INC,55 Prospect St,San Francisco,CA,94110,37.7879363,-122.4075201,ai,uncorroborated
ACTIONIST CONSULTING,1925 Century Park East Suite 1250,Los Angeles,CA,90067,34.0612599,-118.4145504,ai,grounded
ACTIVEST WEALTH MANAGEMENT,"300 Madison Ave, 6th Floor",New York,NY,10017,40.7526831,-73.9800764,ai,uncorroborated
ACTIVEST WM,"20900 NE 30th Avenue, Suite 311",Aventura,FL,33180,25.9694879,-80.142689,ai,grounded
ACTUM,"767 S Alameda St, Suite 490",Los Angeles,CA,90021,34.0306645,-118.238978,ai,grounded
ACUITY CAPITAL LLC,460 S Rosemary Ave Apt 208,West Palm Beach,FL,33401,26.7098532,-80.0569977,ai,grounded
ACXION FOODSERVICE,1701 Crossroads Drive,Odenton,MD,21113,39.095201,-76.694948,ai,grounded
AD SHANKMAN LLC,,,,,,,,
ADA,"401 North Michigan Avenue, Suite 3300",Chicago,IL,60611,41.8894215,-87.6235164,ai,grounded
ADAD,,,,,,,,
ADAM L PECK CPA MST LLC,630 Silver Street Ste 9B,Agawam,MA,01001,42.0564408,-72.651338,ai,grounded
ADAMS AND COMPANY REAL ESTATE,411 Fifth Avenue,New York,NY,10016,40.9171099,-73.8070382,ai,grounded
ADAMS BEVERAGES,7505 Statesville Road,Charlotte,NC,28269,35.3214482,-80.8424604,ai,grounded
ADAMS COUNTY,"4430 S Adams County Pkwy, Suite C100",Brighton,CO,80601,39.9238386,-104.8131691,ai,corroborated
ADAPTHEALTH,"5 Walnut Grove Drive, Suite 200",Mount Laurel,NJ,08054,39.934002,-74.8909988,ai,corroborated
ADAPTIVE BIO,"One Kendall Square, Building 600, Suite 380",Cambridge,MA,02139,42.3656347,-71.1040018,ai,uncorroborated
ADATH ISRAEL CONGREGATION,,,,,,,,
ADATH JESHURUN,,,,,,,,
ADC THERAPEUTICS,"430 Mountain Avenue, Suite 404",New Providence,NJ,07974,40.6904653,-74.3927592,manual,verified
ADDCA,1971 Western Avenue #106,Albany,NY,12203,42.6953994,-73.8794332,ai,grounded
ADDISON HOUSE,6300 Blue Lagoon Drive,Miami,FL,33126,25.7832046,-80.2935816,ai,corroborated
ADDITION,"101 Montgomery St, Suite 600",San Francisco,CA,94104,37.7902982,-122.4024772,ai,uncorroborated
ADDITION MANAGEMENT LLC,469 Seventh Avenue,New York,NY,10022,40.9176713,-73.8044579,ai,grounded
ADELPHI CAPITAL,"1054 31st Street NW, Suite 316",Washington,DC,20007,38.9044669,-77.0613029,ai,grounded
ADELPHI DATA INC,6713 Wemberly Way,McLean,VA,22101,38.9601037,-77.1763998,ai,grounded
ADEMCO INC,"2 Corporate Center Drive, Suite 100",Melville,NY,11747,40.7732173,-73.4113019,ai,grounded
ADFAM,,,,,,,,
ADG,11969 Ventura Blvd,Studio City,CA,91604,34.1434057,-118.3921517,ai,grounded
ADH,4815 West Markham Street,Little Rock,AR,72205,34.7511456,-92.3264831,ai,grounded
ADI MANAGEMENT INC,"172-90 Highland Ave, Ste 1",Jamaica,NY,11432,40.699835,-73.8077023,ai,grounded
ADINA DESIGN INC,14140 Ventura Blvd Suite 209,Sherman Oaks,CA,91423,34.1496116,-118.4413326,ai,grounded
ADINA STRAUS INVESTMENTS,,,,,,,,
ADIVUR US HOLDINGS,"20900 N.E. 30th Avenue, Suite 203",Aventura,FL,33180,25.9564812,-80.1392121,ai,grounded
ADJMI APPAREL,"463 Seventh Avenue, 4th Floor",New York,NY,10018,40.9176518,-73.8044709,ai,grounded
ADL,605 Third Ave,New York,NY,10158,40.8088444,-73.9303577,ai,grounded
ADLER & STACHENFELD,"675 Third Avenue, 31st Floor",New York,NY,10017,40.8088444,-73.9303577,ai,corroborated
ADLER ASSET MANAGEMENT,"142 W 57th Street, 5th Floor",New York,NY,10019,40.7648071,-73.9792438,ai,corroborated
ADLER LAW GROUP,1 South Church Ave,Henderson,NV,89015,36.0319602,-114.9822716,ai,uncorroborated
ADLER PROPERTIES,"9050 Pines Blvd, Suite 101",Pembroke Pines,FL,33024,26.0084976,-80.2648614,ai,grounded
ADLER REAL ESTATE PARTNERS,800 Brickell Ave Suite 701,Miami,FL,33131,25.7656854,-80.1911884,ai,grounded
ADMAIRAL,"232 Strawbridge Drive, Suite 300",Moorestown,NJ,08057,39.9505318,-74.9507167,ai,grounded
ADMIN,,,,,,,,
ADMINISTRATOR,,,,,,,,
ADMIRAL,,,,,,,,
ADMIRAL PACKAGING,10 Admiral St,Providence,RI,02908,41.8405647,-71.4182392,ai,grounded
ADMIRAL SECURITY SERVICES INC,,,,,,,,
ADOBE,345 Park Avenue,San Jose,CA,95110,37.3294709,-121.8947723,ai,corroborated
ADONEL CONCRETE,242 NW 42nd Ave,Miami,FL,33126,25.7738455,-80.2640247,ai,grounded
ADP,1 ADP Boulevard,Roseland,NJ,07068,40.8156767,-74.310335,ai,corroborated
ADR REALTY TRUST,One Financial Center,Boston,MA,02111,42.3524096,-71.0563898,ai,corroborated
ADS THAT WORK,,,,,,,,
ADT,"1501 Yamato Road, Suite 100",Boca Raton,FL,33431,26.3940803,-80.1175877,ai,grounded
ADV,"7676 Forsyth Boulevard, Fifth Floor",Saint Louis,MO,63105,38.6254063,-90.190009,ai,grounded
ADVAMED,"701 Pennsylvania Ave NW, Suite 800",Washington,DC,20004,38.8936824,-77.0219151,ai,uncorroborated
ADVANCE,,,,,,,,
ADVANCE CAR WASH,"2100 112th Ave NE, Suite 110",Bellevue,WA,98004,47.6291214,-122.1903473,ai,uncorroborated
ADVANCE NUTRITION,,,,,,,,
ADVANCE PACKAGING TECHNOLOGIES,5720 Williams Lake Road,Waterford Township,MI,48329,42.6892763,-83.4031871,ai,grounded
ADVANCE PUBLICATIONS INC,1 WORLD TRADE CTR 62ND FL,NEW YORK,NY,10007,40.7127281,-74.0060152,ai,corroborated
ADVANCED EYE CARE CONSULTANTS,316 Peterson Road,Libertyville,IL,60048,42.305917,-87.9689831,ai,grounded
ADVANCED EYE MDS,,LAWRENCEVILLE,NJ,08648,,,,
ADVANCED GASTROENTEROLOGY GROUP,1308 Morris Ave Ste 102,Union,NJ,07083,40.6872518,-74.2425705,ai,grounded
ADVANCED GYNECOLOGY AND SURGERY,"1711 Sheepshead Bay Road, 1st Floor",Brooklyn,NY,11235,40.5857321,-73.9513175,ai,grounded
ADVANCED HUMAN RESOURCES,,,,,,,,
ADVANCED MEDICAL TRANSPORT,3350 SW 148th Avenue Suite 110 #353,Miramar,FL,33027,25.9768579,-80.3451421,ai,grounded
ADVANCED NUTRIENTS,2000 Larch Avenue,Oxnard,CA,93033,34.1976308,-119.180381,ai,corroborated
ADVANCED NUTRITION,"844 First Colonial Road, Ste. 205",Virginia Beach,VA,23451,36.8549345,-76.023493,ai,grounded
ADVANCED ORTHO AND SPINE,"5651 Frist Boulevard, Suite 200",Hermitage,TN,37076,36.1781976,-86.6059232,ai,grounded
ADVANTAGE CAPITAL,"1 Financial Plaza, Suite 1900",Providence,RI,02903,41.8253152,-71.4101156,ai,uncorroborated
ADVANTAGE FOOD & BEVERAGE,682 N Cassady Ave,Columbus,OH,43219,39.9846741,-82.9315219,ai,grounded
ADVANTAGE WAYPOINT,1701 Crossroads Drive,Odenton,MD,21113,39.095201,-76.694948,ai,uncorroborated
ADVARRA,"500 Mamaroneck Avenue, Suite 301",Harrison,NY,10528,40.9770766,-73.7420223,ai,corroborated
ADVECTION GROWTH CAPITAL,"320 Park Avenue, Floor 22",New York,NY,10022,40.7575952,-73.9739924,ai,grounded
ADVENTHEALTH,8000 W. PALMETTO PARK RD,BOYNTON BEACH,FL,33472,26.5289139,-80.058141,ai,uncorroborated
ADVENTHEALTH LITTLETON HOSPITAL,1000 Plains End Way,Littleton,CO,80123,39.613321,-105.016649,ai,corroborated
ADVENTHEALTH UROLOGY,900 Hope Way,Altamonte Springs,FL,32714,28.6444535,-81.413164,ai,uncorroborated
ADVENTIST,12501 Old Columbia Pike,Silver Spring,MD,20904,39.0610486,-76.9658789,ai,grounded
ADVISOR PERSPECTIVES INC,"225 Liberty St, Suite 2310",New York,NY,10281,40.712272,-74.0154361,ai,grounded
ADVISORY RESEARCH INC,10233 Alliance Rd,Cincinnati,OH,45242,39.1012809,-84.5127405,ai,uncorroborated
ADVOCARE,8020 N. Spring Creek Parkway,Plano,TX,75024,33.0136764,-96.6925096,ai,uncorroborated
ADVOCARE GROVE FAMILY MEDICAL ASSOCIATES,"132 Grove Street, Suite A",Haddonfield,NJ,08033,39.9029342,-75.0319618,manual,verified
ADVOCARE GROVE FAMILY MEDICINE,132 Grove Street,Haddonfield,NJ,08033,39.9029342,-75.0319618,ai,grounded
ADVOCARE MAIN LINE PEDIATRICS,701 Montgomery Avenue Suite 18,Narberth,PA,19072,40.0098679,-75.2552146,ai,grounded
ADVOCATE AURORA HEALTHCARE,3075 Highland Parkway,Downers Grove,IL,60515,41.8326452,-88.0053115,ai,corroborated
ADVOCATE BROKERAGE CORP,820 Scarsdale Ave,Scarsdale,NY,10583,40.9848255,-73.809067,ai,grounded
ADVOCATE HEALTH,3075 Highland Pkwy,Downers Grove,IL,60515,41.8326452,-88.0053115,ai,corroborated
ADVOCATE LLP,805 Third Avenue Suite 2030,New York,NY,10022,40.8088444,-73.9303577,ai,grounded
ADVOCATE RADIATION,3080 Harbor Blvd,Port Charlotte,FL,33952,26.9860731,-82.0961487,ai,grounded
AECD GROUP,,,,,,,,
AECOM CAPITAL,"1999 Avenue of the Stars, 8th Floor",Los Angeles,CA,90067,34.0536909,-118.242766,ai,corroborated
AEG,800 W Olympic Blvd,Los Angeles,CA,90015,34.0446975,-118.2646054,ai,corroborated
AEGIS,40 Broad St,New York,NY,10004,40.7059374,-74.011542,ai,uncorroborated
AEI SEMINARS,"111 E. Merrill Street, Suite 300",Birmingham,MI,48009,42.5453351,-83.2146869,ai,corroborated
AEIG,"2250 Chapel Avenue West, Suite 200",Cherry Hill,NJ,08002,39.9292672,-75.0175678,ai,grounded
AEPI FOUNDATION,8815 Wesleyan Road,Indianapolis,IN,46268,39.9142741,-86.2220986,ai,grounded
AER SERVICES INC,2743 Hollywood Blvd,Hollywood,FL,33020,26.0111653,-80.1548249,ai,grounded
AEROPAY,275 Grove St,Newton,MA,02466,42.3390916,-71.2513667,ai,uncorroborated
AEROSTRAT,"999 3rd Ave, Suite 700",Seattle,WA,98104,47.6050344,-122.3340723,ai,grounded
AES MANAGEMENT,539 Eastern Parkway,Brooklyn,NY,11216,40.6702778,-73.9501597,ai,grounded
AETION,"5 Penn Plaza, 7th Floor",New York,NY,10001,43.1318845,-77.4402082,ai,grounded
AETNA,151 Farmington Avenue,Hartford,CT,06156,41.7669843,-72.6908971,ai,uncorroborated
AEYE STRATEGIC SOLUTIONS,"20 West 46th Street, Suite 600",New York,NY,10036,40.7563287,-73.9803339,ai,grounded
AFC,3700 Cahaba Beach Road,Birmingham,AL,35242,33.441276,-86.698647,ai,grounded
AFC INDUSTRIES INC,1002 N 9th St,Ankeny,IA,50023,41.7394893,-93.6306207,ai,uncorroborated
AFFIANCE FINANCIAL,"600 Highway 169 S., Suite 1750",Saint Louis Park,MN,55426,44.9475726,-93.3569023,ai,grounded
AFFILIATE.COM,,New York,NY,10005,,,,
AFFILIATED ANESTHESIOLOGISTS,13321 N Meridian Ave Ste 402,Oklahoma City,OK,73120,35.6063498,-97.6030217,ai,grounded
AFFILIATED DERM,20401 N 73rd St STE 230,Scottsdale,AZ,85255,33.6729667,-111.9235851,ai,grounded
AFFILIATED HEALTHCARE,,,,,,,,
AFFILIATED UROLOGISTS,"5133 N. Central Ave., Suite 206",Phoenix,AZ,85012,33.5123708,-112.0733614,ai,grounded
AFFINITY MARKETING PARTNERS,"29 West 20th Street, Suite 600",New York,NY,10011,40.7401587,-73.9918729,ai,uncorroborated
AFFORDABLE HOUSING ADVISORY GROUP,900 17th St NW,Washington,DC,20006,38.9015995,-77.0398021,ai,uncorroborated
AFHU,"633 Third Avenue, 10th Floor",New York,NY,10017,40.8088444,-73.9303577,ai,uncorroborated
AFI,,,,,,,,
AFIPO,"122 East 42nd Street, Suite 4507",New York,NY,10168,40.7512124,-73.9765595,ai,grounded
AFLAC,1932 Wynnton Road,Columbus,GA,31999,32.4680083,-84.9642553,ai,uncorroborated
AFRICAGEMS,,Mill Valley,CA,94941,,,,
AFTAU,"71 West 23rd Street, Suite 513",New York,NY,10010,40.7435779,-73.9919229,ai,corroborated
AFTON PARK DEVELOPMENT,251 N 1st Ave,Minneapolis,MN,55401,44.9799917,-93.2742875,ai,grounded
AGAM CAPITAL,"500 Frank W Burr Blvd, 4th Floor",Teaneck,NJ,07666,40.8722925,-74.0065991,ai,grounded
AGAMI LOANS,,Los Altos,CA,94022,,,,
AGBO,"1640 Pacific Coast Highway, Suite 200",Hermosa Beach,CA,90254,33.8669246,-118.3935333,ai,corroborated
AGC OF AMERICA,"2300 Wilson Boulevard, Suite 400",Arlington,VA,22201,38.890678,-77.0874363,ai,corroborated
AGDS,1225 Industrial Park Drive SE,Bemidji,MN,56601,47.4418379,-94.8522882,ai,grounded
AGE OF LEARNING,"1225 N. McDowell Blvd., Suite 150",Petaluma,CA,94954,38.2701217,-122.6613878,ai,corroborated
AGI FINANCIAL,930 Carmel Ct,Los Altos,CA,94022,37.3990338,-122.1204226,ai,grounded
