employer_name,rows,donors,occupations,donor_places,resolved_hq,address_source
JITTERBIT,17,1,BOARD MEMBER; RETIRED,"ALAMO, CA","San Francisco, CA",ai
JSV,17,1,CEO; CHIEF PRODUCT OFFICER; COMMUNITY BUILDER,"SAN JOSE, CA",,
PINNACLE,17,1,ATTORNEY; COUNSEL,"NEW YORK, NY","New York, NY",ai
SIDLEY,16,1,ATTORNEY,"LOS ANGELES, CA; MANHATTAN BEACH, CA","Chicago, IL",ai
ORH,16,1,MEDICAL DOCTOR; PHYSICIAN,"BELLEVUE, WA",,
AMGEN,16,4,DATABASE ADMINISTRATOR; PHARMACEUTICAL SALES; RETIRED,"AVENTURA, FL; LAKE ELSINORE, CA; SAN DIEGO, CA","Thousand Oaks, CA",ai
TRAMMO,16,1,BUSINESS - TRAFE; COMMODITY TRADING; TRADE & MARKETING,"PALM BEACH GARDENS, FL","New York, NY",ai
LEX,16,2,BROKER; COMPUTER PROGRAMMER; OWNER,"LOS ANGELES, CA; RIVERSIDE, CA",,
JSSI,16,1,CHAIRMAN & CEO; EXECUTIVE,"CHICAGO, IL","Chicago, IL",ai
WIPRO,16,1,CONSULTANT; RETIRED,"AUSTIN, TX","East Brunswick, NJ",ai
MONEM,16,2,PRESIDENT; RE INV; REAL ESTATE,"BEVERLY HILLS, CA; WEST HOLLYWOOD, CA",,
QIOSK.COM,16,1,RETIRED,"ALLENTOWN, PA",,
KEMPSTAR,16,1,FINANCE,"CORAL GABLES, FL",,
MCC,15,1,RETIRED,"NEW YORK, NY","New York, NY",ai
HCA,15,7,ATTORNEY; MEDICAL DOCTOR; PHYSICAL THERAPIST,"AVENTURA, FL; BOCA RATON, FL; DELRAY BEACH, FL","Nashville, TN",ai
AFC,15,2,BUSINESS; CPA; RETIRED,"PARADISE VALLEY, AZ; WESTON, FL",,
CORGRO,15,1,GENERAL COUNSEL,"MIAMI SHORES, FL; MIAMI, FL",,
WEWORK,15,1,REAL ESTATE; REAL ESTATE EXECUTIVE,"TENAFLY, NJ","New York, NY",ai
COMPASS,15,10,ATTORNEY; BROKER; REAL ESTATE,"DRESHER, PA; HOUSTON, TX; MANLIUS, NY","New York, NY",ai
SHERWOOD,15,1,BIS; BUISNERSS; BUSINESS,"GLENWOOD LANDING, NY",,
GOLDMAN,15,1,VENTURE CAPITAL,"MERION STATION, PA",,
COLRICH,15,1,REAL ESTATE DEVELOPER; REAL ESTATE INVESTOR,"SAN DIEGO, CA","San Diego, CA",ai
WEITZMAN,15,1,COMMERCIAL REAL ESTATE EXECUTIVE; EXECUTIVE CHAIRMAN; REAL ESTATE,"DALLAS, TX","Dallas, TX",ai
TUSD,14,1,PSYCHOLOGIST,"TUCSON, AZ","Tucson, AZ",ai
MCKINSEY,14,2,CONSULTANT; MANAGEMENT CONSULTANT; PHYSICIAN,"HOUSTON, TX; NEW YORK, NY","New York, NY",ai
IDW,14,1,CEO,"PARAMUS, NJ","San Diego, CA",ai
LGN,14,1,ATTORNEY,"SAINT PAUL, MN",,
POH,14,1,REAL ESTATE,"AVENTURA, FL",,
UKG,14,2,ATTORNEY; CHAIR; CHAIRMAN,"ACTON, MA; NAPLES, FL","Westwood, MA",ai
SPGI,14,1,EXECUTIVE,"NEW CASTLE, NH","New York, NY",ai
CORCORAN,14,5,BROKER; DEAL ESTATE; LAWYER/REALESTATE,"NEW YORK, NY; PALM BEACH, FL; TENAFLY, NJ","New York, NY",ai
BYM,14,1,PRESIDENT; RETIRED,"CHESTNUT HILL, MA",,
CAMSF,14,1,RETIRED,"SAN RAFAEL, CA",,
GCF,14,2,DEBT ACQUISITION; INVESTOR; MANAGER,"DENVER, CO; PLANTATION, FL","Aventura, FL",ai
SPORTSMAN,14,1,RETIRED,"PRAIRIE VILLAGE, KS",,
COLLIERS,14,2,REAL ESTATE; SENIOR CORPORATE COUNSEL,"BOCA RATON, FL; DELRAY BEACH, FL","Seattle, WA",ai
GNI,14,1,PHYSICIAN PAT TIME,"BRYN MAWR, PA","Philadelphia, PA",ai
GUNSTER,14,2,ATTORNEY,"FORT LAUDERDALE, FL; PALM BEACH GARDENS, FL; PLANTATION, FL","Miami, FL",ai
PIMCO,14,2,EXECUTIVE VICE PRESIDENT; FINANCE; INVESTMENT MANAGER,"NEWPORT BEACH, CA; ROSLYN, NY","New York, NY",ai
RAC,14,1,PHYSICALLY CIAN; PHYSICIAN,"CLEARWATER, FL","Palm Harbor, FL",ai
PMB,13,1,DESIGN CONSULTANT; RETIRED,"SANTA MONICA, CA",,
ORRICK,13,6,ATTORNEY; LAWYER,"GREENWICH, CT; HERMOSA BEACH, CA; MENLO PARK, CA","San Francisco, CA",ai
BENTEX,13,2,IMPORT; WHOELSALE; WHOLESALE,"BROOKLYN, NY","New York, NY",ai
WWTS,13,1,BUSINESS; PRESIDENT; SELF-EMPLOYED,"BELLE HARBOR, NY",,
NEWFRONT,13,1,INSURANCE BROKER,"SHERMAN OAKS, CA","San Francisco, CA",ai
RPMS,13,1,BUSINESS CONSULTING; RETIRED,"NORTHBROOK, IL; WILMETTE, IL",,
SUNBELT,13,1,MANAGER; RETIRED,"DALLAS, TX","Lake Mary, FL",ai
SENTILINK,13,1,VP OF FINANCE,"ENCINO, CA","Santa Clara, CA",ai
FCA,12,3,ENGINEER; RETIRED,"ANN ARBOR, MI; FARMINGTON HILLS, MI; WEST BLOOMFIELD, MI","Auburn Hills, MI",ai
NEFCO,12,2,PRESIDENT & CEO; SALES,"BLOOMFIELD, CT; WEST HARTFORD, CT; WESTPORT, CT","East Hartford, CT",ai
BSW,12,1,HEALTHCARE,"AUSTIN, TX",,
KROST,12,2,ORAL SURGEON; RETIRED,"CALABASAS, CA; OAKHURST, NJ","Irvine, CA",ai
JFI,12,2,EXECUTIVE; NON EXECUTIVE CHAIRMAN,"NEW YORK, NY; WHITE PLAINS, NY",,
IMC,12,1,FINANCE; FINANCIAL MARKETS,"PURCHASE, NY","Chicago, IL",ai
GSA,12,2,CPA,"ENCINO, CA","Washington, DC",ai
NEWTECH,12,1,CEO; EXECUTIVE,"GOLDEN BEACH, FL",,
CRESA,11,1,COMMERCIAL REAL ESTATE BROKER; REAL ESTATE ADVISOR,"BETHESDA, MD","Chicago, IL",ai
GSS,11,1,CEO,"LONGWOOD, FL",,
OXBOMB,11,1,FILM AND TV; FILMMAKER,"LOS ANGELES, CA",,
BDT&MSD,11,2,FINANCE; MERCHANT BANKER; PRINCIPAL,"HIGHLAND PARK, IL","Chicago, IL",ai
PTG,11,1,BUSINESS OWNER,"HOUSTON, TX; SUGAR LAND, TX",,
TWILLORY,11,2,COO; RETIRED,"WOODMERE, NY","Tarrytown, NY",ai
PPI,11,1,MANAGEMENT; MANAGER,"BROOKLYN, NY",,
BESTART,11,1,ART SALES; BIZ OWNER; BUSINESS,"TEANECK, NJ",,
NRT,11,1,RETIRED,"DALLAS, TX","New York, NY",
JEWBELONG,11,2,CO-FOUNDER,"NEW YORK, NY",,
BRG,11,3,HEALTHCARE MANAGEMENT CONSULTANT; INVESTMENTS; REAL ESTATE,"GARDEN CITY, NY; STAMFORD, CT; SUFFERN, NY","Emeryville, CA",ai
LOCKTON,11,2,MANAGING DIRECTOR; PARTNER; SR. VP,"PALMETTO BAY, FL; WOODMERE, NY","Kansas City, MO",ai
STRIPE,11,2,PRODUCT DESIGNER; SOFTWARE ENGINEER; SW MANAGER,"NEW YORK, NY","San Francisco, CA",ai
ROC,11,1,CHIEF CAPITAL MARKETS OFFICER; FINANCE,"WHITE PLAINS, NY",,
LMC,10,1,CEO; CEO & FOUNDER; CPA,"BROOKLYN, NY; NEW YORK, NY",,
EDJCO,10,1,HOMELESS HOUSING; PRESIDENT; PRINCIPAL,"LOS ANGELES, CA","Los Angeles, CA",ai
INCYTE,10,1,PHYSICIAN,"WYNNEWOOD, PA","Wilmington, DE",ai
BMCI,10,1,PRESIDENT,"FOOTHILL RANCH, CA; IRVINE, CA",,
OURCROWD,10,3,FINANCE; VENTURE CAPITAL; VICE PRESIDENT,"GREENWICH, CT; WINNETKA, IL","Brooklyn, NY",ai
PHILSON,10,1,RETIRED,"JUPITER, FL",,
WINTRUST,10,2,BANKER; BANKING,"EVANSTON, IL","Schaumburg, IL",ai
WINDSOR,10,1,FASHION; RETAIL EXECUTIVE,"BEVERLY HILLS, CA",,
MOODYS,10,2,ANALYST; CREDIT ANALYST,"NEW YORK, NY; PRINCETON, NJ","New York, NY",ai
RPC,10,2,DEVELOPER; OFFICE,"LEAWOOD, KS; MIAMI BEACH, FL","Atlanta, GA",ai
STARBUCKS,10,3,BARISTA; COMMUNICATIONS; PRODUCT MANAGEMENT,"BELLEVUE, WA; MOUNTLAKE TERRACE, WA; TUCSON, AZ","Seattle, WA",ai
SPC,10,1,ATTORNEY,"AGOURA HILLS, CA; SCOTTSDALE, AZ",,
CYDCOR,10,1,EXECUTIVE,"LOS ANGELES, CA","Agoura Hills, CA",ai
TFC,10,2,DIRECTOR; MANAGER; YOGA TEACHER,"HOUSTON, TX; SEABROOK, TX",,
MCOL,10,1,MARKETING,"WASHINGTON, DC",,
BDJ,10,2,ATTORNEY; ATTORNEY/PRESIDENT/CEO,"BEVERLY HILLS, CA; LOS ANGELES, CA","Los Angeles, CA",manual
GBRS,10,1,CONSULTANT; RETIRED,"GREENWOOD VILLAGE, CO",,
SCMV,10,1,ATTORNEY,"SAN DIEGO, CA",,
TIEKS,10,1,CEO,"LOS ANGELES, CA","Beverly Hills, CA",ai
KAPLAN,9,2,MANAGER; RETIRED,"FORT LAUDERDALE, FL; PALM BEACH GARDENS, FL","Fort Lauderdale, FL",ai
NQGRG,9,1,ATTORNEY,"BALTIMORE, MD",,
RAYVID,9,1,CEO; FOUNDER; SELF-EMPLOYED,"SEATTLE, WA",,
BH3,9,2,CEO; REAL ESTATE,"FORT LAUDERDALE, FL","Fort Lauderdale, FL",ai
BLOOMBERG,9,2,RETIRED; VICE CHAIRMAN; VICE PRESIDENT,"NEW YORK, NY; SANDS POINT, NY","New York, NY",ai
DESIGNER,9,2,RETIRED; SUSTAINABLE DESIGN,"CARMICHAEL, CA; LOS ANGELES, CA; TARZANA, CA",,
NORTHMARQ,9,2,REAL ESTATE; SENIOR VICE PRESIDENT; STRUCTURED FINANCE,"BETHESDA, MD; LOS ANGELES, CA","Minneapolis, MN",ai
ODYSSEY,9,1,RETIRED,"NEW YORK, NY",,
GENENTECH,9,1,ATTORNEY,"BERKELEY, CA","South San Francisco, CA",ai
GBMC,9,1,FAMILY PHYSICIAN,"BALTIMORE, MD","Glen Burnie, MD",ai
CITIBANK,9,3,BANKER; VICE PRESIDENT,"FAIRFIELD, CT; LIVINGSTON, NJ; STAMFORD, CT","New York, NY",ai
NLE,9,1,DIRECTOR,"WINNETKA, IL",,
STEPHENS,9,1,RETIRED,"HOUSTON, TX","Little Rock, AR",
CHIME,9,1,MARKETING,"CAMPBELL, CA","San Francisco, CA",ai
MLRDELLC,9,1,INVESTOR; RETIRED,"BUFFALO GROVE, IL",,
GW&K,9,1,CHAIRMAN AND FOUNDER; FOUNDER AND CHAIRMAN; INVESTMENT ADVISOR,"BROOKLINE, MA","Boston, MA",ai
ONS,9,1,MEDICAL DOCTOR,"RIVERSIDE, CT",,
KARLIN,9,1,CEO,"PACIFIC PALISADES, CA",,
SAS,8,3,CONSULTANT; RETIRED,"ACWORTH, GA; INCLINE VILLAGE, NV; RALEIGH, NC","Cary, NC",ai
ROL&M,8,1,ATTORNEY; RETIRED,"APTOS, CA",,
ARCXIS,8,1,BUSINESS; CEO,"BELLAIRE, TX","Houston, TX",ai
RPK,8,1,REAL ESTATE; REAL ESTATE DEVELOPMENT; REAL ESTATE MANAGEMENT AND DEVELOPMENT,"LOS ANGELES, CA",,
RLH,8,1,FINANCE,"IRVINE, CA","Denver, CO",ai
GSP,8,1,REAL ESTATE,"BEVERLY HILLS, CA; LOS ANGELES, CA",,
DVRA,8,1,PHYSICIAN; RETIRED,"PENNINGTON, NJ",,
DRIVING,8,1,DRIVER; DRIVING,"WEST PALM BEACH, FL",,
PMG,8,2,ENGINEER; RETIRED,"ENCINO, CA; LOS ANGELES, CA",,
KKR,8,1,FINANCE; INVESTOR; REAL ESTATE,"NEW YORK, NY","New York, NY",ai
AMG,8,1,MANAGEMENT,"HOUSTON, TX","West Palm Beach, FL",ai
PRODUCER,8,1,LAWYER; RETIRED,"MANHATTAN BEACH, CA",,
DMW,8,1,CPA,"MARLBORO, NJ",,
TWINCO,8,1,RETIRED; SALES,"HOUSTON, TX",,
PRA,8,1,RETIRED,"BIRMINGHAM, AL","New York, NY",
TECHMARK,8,1,BRANDING; RETIRED,"BOYNTON BEACH, FL","Detroit, MI",ai
IMPCO,8,1,PROPERTY MANAGER,"PORTLAND, OR","San Antonio, TX",ai
HIGHTOWER,8,1,FINANCE,"TEANECK, NJ","Chicago, IL",ai
HCC,8,1,EDUCATOR,"COLUMBIA, MD","Houston, TX",ai
KEYES,8,2,AUTO; CAR SALES; COMMERCIAL REAL ESTATE AGENT,"BOCA RATON, FL; HIDDEN HILLS, CA","Los Angeles, CA",ai
VERBIT,7,1,MARKETING,"NEW YORK, NY","Brooklyn, NY",ai
IHSS,7,2,CARE PROVIDER; CAREGIVER,"FRESNO, CA; IRVINE, CA",,
WESTCORD,7,1,REAL ESTATE,"THOUSAND OAKS, CA",,
CCI,7,2,INVESTMENTS; RETIRED; SELF-EMPLOYED,"CHICAGO, IL; DELRAY BEACH, FL",,
SGC,7,1,CEO,"SEMINOLE, FL",,
PFP,7,1,BUSINESS OWNER,"WESTPORT, CT",,
BANC,7,1,ATTORNEY,"YORBA LINDA, CA",,
MVDC,7,1,SALES,"DANVERS, MA",,
MENTO,7,1,CEO,"ASPEN, CO; WEST HOLLYWOOD, CA","New York, NY",ai
NAPCO,7,1,ACCOUNTING; OFFICER,"HIGHLAND PARK, IL","Skokie, IL",ai
CNI,7,1,RETIRED,"MOUNTAIN BROOK, AL","Arlington, VA",ai
SWIRNOW,7,1,RETIRED,"BALTIMORE, MD","Sunnyvale, CA",ai
ASMG,7,1,PHYSICIAN,"DEL MAR, CA",,
RWJPE,7,2,PHYSICIAN,"WESTFIELD, NJ","New Brunswick, NJ",ai
FIDF,7,3,CEO; COMMUNITY ENGAGEMENT; RETIRED,"BALTIMORE, MD; TEANECK, NJ; WEST HEMPSTEAD, NY",,
YARDSTICK,7,1,CEO,"WINNETKA, IL",,
KBT,7,1,ATTORNEY,"MERRICK, NY","New York, NY",ai
FJECC,7,1,RETIRED,"CHESTNUT HILL, MA",,
VSI,7,1,IT MANAGER; SOFTWARE DEVELOPER; SOFTWARE ENGINEER,"CHERRY HILL, NJ",,
KCC,7,2,ENTERTAINMENT; LAWYER,"NEW YORK, NY; WASHINGTON, DC","El Segundo, CA",ai
PERSONAL,7,1,SALES EXECUTIVE; TRANSIT CONSULTANT,"VENTNOR CITY, NJ",,
INSCRIBE,7,2,PROGRAMMER; RETIRED; SOFTWARE DEVELOPER,"WAYLAND, MA; WESTON, MA","Los Angeles, CA",ai
JAFFA,7,1,INVESTOR,"MILL VALLEY, CA",,
USPTO,7,1,ATTORNEY; LAWYER,"ALEXANDRIA, VA","Alexandria, VA",ai
BIRDI,7,1,CEO; RETIRED,"WEST BLOOMFIELD, MI",,
TRANZPORT,7,1,CEO,"BAY HARBOR ISLANDS, FL",,
TRISPAN,7,1,INVESTMENT MANAGER; INVESTOR; MANAGER,"BROOKLYN, NY","New York, NY",ai
TURNKEY,7,1,"CO-FOUNDER, CTO; CTO","STANFORD, CA",,
HUPPINS,7,1,BUSINESS OWNER,"SPOKANE, WA","Spokane, WA",ai
CAKETECH,7,1,CEO,"STAMFORD, CT",,
LVPG,7,2,PHYSICIAN,"ALLENTOWN, PA; VILLANOVA, PA","Allentown, PA",ai
WALDEN,7,1,RETIRED,"CINCINNATI, OH",,
UPMC,7,4,INTERPRETER; PHYSICIAN,"PITTSBURGH, PA","Pittsburgh, PA",ai
WELLSTAR,6,2,PHYSICIAN; RETIRED,"ATLANTA, GA","Atlanta, GA",ai
MDCPS,6,2,TEACHER,"MIAMI BEACH, FL; MIAMI, FL","Miami, FL",ai
CHUBB,6,2,ASSISTANT VICE PRESIDENT; ATTORNEY; MANAGING COUNSEL,"WAXHAW, NC; WEST ORANGE, NJ","Whitehouse Station, NJ",ai
NMRK,6,1,COMMERCIAL RE; COMMERCIAL REAL ESTATE EXEC; REAL ESTATE EXECUTIVE,"GLENCOE, IL","New York, NY",ai
