employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
"ATLANTIC REALTY ASSOCIATES, INC",47,corrected,"2600 Horizon Drive, Suite 210, King of Prussia, PA",PA,"8150 Leesburg Pike, Suite 1100",VA,NY:34; VA:10; NJ:3
CAPITAL ONE,46,confirmed,1680 Capital One Drive,VA,,,NY:41; NJ:5
SEYFARTH SHAW,46,confirmed,"233 South Wacker Drive, Suite 8000",IL,,,MA:44; MD:1; NJ:1
PLAYON! SPORTS,45,corrected,"111 Congressional Blvd, Suite 400, Carmel, IN",IN,"2990 Brandywine Rd, Suite 300",GA,GA:45
DENTONS,43,confirmed,1221 Avenue of the Americas,NY,,,IL:24; AL:18; VA:1
"DEREK SMITH LAW GROUP, PLLC",43,corrected,"701 Thirteenth Street NW, Suite 800, Washington, DC",DC,"The Nelson Tower, 450 7th Avenue, 30th Floor",NY,PA:27; FL:16
CHESAPEAKE REALTY PARTNERS,42,corrected,"1200 Galleria Boulevard, Suite 100, Roseville, CA",CA,4750 Owings Mills Blvd,MD,FL:40; MD:2
HARBOR GROUP INTERNATIONAL,42,corrected,"570 Lexington Avenue, 10th Floor, New York, NY",NY,"999 Waterside Drive, Suite 2300",VA,MD:34; VA:8
VALCOR ENGINEERING CORP,42,corrected,"1000 N. Sperry Drive, Mesa, AZ",AZ,2 Lawrence Road,NJ,NJ:42
KATTEN MUCHIN ROSENMAN LLP,42,confirmed,525 West Monroe Street,IL,,,NY:23; NJ:11; CA:5
KEMPNER FAMILY FOUNDATION,42,corrected,"2000 Dempster Street, Suite 100, Evanston, IL",IL,"c/o Combined Jewish Philanthropies, Kraft Family Building, 126 High Street",MA,MA:42
SUTHERLAND CAPITAL MANAGEMENT INC,41,corrected,"1301 Pennsylvania Avenue NW, Washington, DC",DC,"32 East 57th Street, 16th Floor",NY,NY:41
ROTOR CLIP,40,corrected,"8 Locust Street, Newburgh, NY",NY,187 Davidson Avenue,NJ,NJ:40
FELSON COMPANIES,40,corrected,"200 East Randolph Drive, Suite 2300, Chicago, IL",IL,"1290 B Street, Suite 212",CA,CA:40
REDWOOD APARTMENT LIVING,40,corrected,"10211-8 Jefferson Blvd., Ste. 300, Culver City, CA",CA,7007 East Pleasant Valley Road,OH,OH:40
"GHP INVESTMENT ADVISORS, INC",39,corrected,"1345 Avenue of the Americas, New York, NY",NY,"1290 Broadway, Suite 1100",CO,CO:39
RANGER CAPITAL MANAGEMENT,39,confirmed,"100 Crescent Court, Suite 700",TX,,,IL:39
SCHALL LAW FIRM,39,corrected,"1441 Broadway, Suite 7010, New York, NY",NY,"2049 Century Park East, Suite 2460",CA,CA:39
AMERICAN BANKERS ASSOCIATION,38,confirmed,1120 Connecticut Ave NW,DC,,,VA:38
GEORGE SMITH PARTNERS,38,corrected,"300 First Stamford Place, 5th Floor, Stamford, CT",CT,"1900 Avenue of the Stars, Suite 250",CA,CA:38
SCRAPSOURCE,38,corrected,"2899 W. 35th Street, Brooklyn, NY",NY,"8235 Douglas Ave, Ste 401",TX,TX:38
RLF CAPITAL ADVISORS,38,corrected,"8000 Avalon Boulevard, Suite 200, Montgomery, AL",AL,35 Green Hollow Rd,NY,FL:38
ODEON CAPITAL GROUP,37,corrected,"111 S Wacker Dr, Suite 4500, Chicago, IL",IL,"750 Lexington Avenue, 27th Floor",NY,NY:37
KILPATRICK TOWNSEND & STOCKTON LLP,36,confirmed,"1100 Peachtree Street NE, Suite 2800",GA,,,NY:36
BROWN & BROWN INSURANCE,36,corrected,"6400 C Street SW, Suite 400, Fargo, ND",ND,300 North Beach Street,FL,FL:26; NJ:9; GA:1
MERRILL LYNCH,36,confirmed,250 Vesey Street,NY,,,CA:18; NC:11; MA:5
COLTER LEWIS INVESTMENT PARTNERS,35,corrected,"200 West Street, Suite 400, Waltham, MA",MA,"22 West Putnam Avenue, Second Floor",CT,NY:35
THE CROSS COUNTRY GROUP,35,corrected,"2002 Summit Boulevard, Suite 340, Atlanta, GA",GA,400 Rivers Edge Drive,MA,MA:35
THE SCION GROUP,35,corrected,"1 National Life Dr, Davis 6, Montpelier, VT",VT,"401 N. Michigan Ave, Suite 400",IL,MI:35
CENTERBASE LLC,35,corrected,"340 S Lemon Ave, Suite B-105, Walnut, CA",CA,"8350 N Central Expy, Suite 1950",TX,NY:28; MA:7
"CROSSLAND, LLC",35,corrected,"400 Metropolitan Square, 211 N. Broadway, St. Louis, MO",MO,"141 W Jackson Blvd, Suite 1710A",IL,MD:35
ITC TRADING COMPANY LTD,35,corrected,"1209 Orange St, Wilmington, DE",DE,"109 N Post Oak Lane, Suite 410",TX,TX:28; FL:7
CITADEL,34,corrected,"131 South Dearborn Street, Chicago, IL",IL,830 Brickell Plaza,FL,CT:12; NY:11; CA:11
BRAMAN MANAGEMENT ASSOCIATES,34,corrected,"250 Park Ave S, New York, NY",NY,"2060 Biscayne Blvd, 2nd Floor",FL,FL:34
COMPASS LEXECON,33,corrected,"1999 Harrison St, Suite 1530, Oakland, CA",CA,"555 12th St NW, Suite 501",DC,IL:33
JACKSON LEWIS,33,corrected,"650 Poydras Street, Suite 1900, New Orleans, LA",LA,"666 3rd Ave, 28th Floor",NY,CA:24; OH:5; FL:3
SUN CAPITAL PARTNERS,33,corrected,"520 Madison Avenue, 21st Floor, New York, NY",NY,"5200 Town Center Circle, 4th Floor",FL,FL:33
CRESCENT REALTY ADVISORS,33,corrected,"1111 Brickell Avenue, Suite 2300, Miami, FL",FL,4840 Andasol Ave,CA,CA:33
STEIN MITCHELL BEATO & MISSNER,32,confirmed,"901 15th St NW, Suite 700",DC,,,MD:32
NFP,32,confirmed,200 Park Ave S,NY,,,IN:21; MD:4; IL:4
"INTRA-CELLULAR THERAPIES, INC. (ITCI)",32,corrected,"75 Hayden Ave, Lexington, MA",MA,"135 Route 202/206, Suite 6",NJ,AL:32
THRIVE FP,31,corrected,"2700 N Military Trl, Boca Raton, FL",FL,809 N Cuernavaca Dr,TX,TX:31
JAMS,31,corrected,"620 Ninth Avenue, 18th Floor, New York, NY",NY,"18881 Von Karman Ave., Suite 350",CA,IL:31
FELLOWS LABRIOLA LLP,31,corrected,"25 W 45th St, 12th Floor, New York, NY",NY,"233 Peachtree Street NE, Suite 2400, Harris Tower",GA,GA:31
VESTAR CAPITAL PARTNERS,31,corrected,"700 S Flower St, Suite 2500, Los Angeles, CA",CA,437 Madison Avenue,NY,NY:31
WINSTON & STRAWN,30,confirmed,35 West Wacker Drive,IL,,,NY:16; NC:8; TX:6
ROKU,30,confirmed,150 Winchester Circle,CA,,,TX:23; NY:7
ENDEAVOR HEALTH,29,corrected,"1750 Tysons Boulevard, Suite 1500, Tysons, VA",VA,1301 Central St,IL,IL:29
FTI CONSULTING,29,confirmed,1990 K Street NW,DC,,,NY:23; NJ:5; FL:1
LNK PARTNERS,29,corrected,"1355 Market Street, Suite 488, San Francisco, CA",CA,"445 Hamilton Avenue, 11th Floor",NY,NY:29
HODGES WARD ELLIOTT,29,corrected,"100 Crescent Court, Suite 1850, Dallas, TX",TX,"3384 Peachtree Road NE, 6th Floor",GA,NY:29
LEVITCH STANLEY MENDELL LLP,29,corrected,"111 John St, New York, NY",NY,"10940 Wilshire Boulevard, Suite 1220",CA,CA:29
SOLOMON PARTNERS,29,confirmed,"80 Broad Street, 6th Floor",NY,,,FL:29
EISENBERG INVESTMENT GROUP,29,corrected,"150 E 58th St, 34th Floor, New York, NY",NY,4613 N University Drive #411,FL,FL:29
STANDWITHUS,29,confirmed,"8888 W. Olympic Blvd, Suite 300",CA,,,PA:18; WA:6; IL:3
"ADVISORY RESEARCH, INC",29,unknown,6300 UNIVERSITY AVE,WI,,,IL:29
DOORDASH,28,confirmed,"303 2nd Street, Suite 800",CA,,,CT:22; WA:6
BLAKE PARTNERS LLC,28,corrected,"1 Boston Place, Boston, MA",MA,"270 West 39th Street, Second Floor",NY,NY:26; NJ:2
RAMAZ,28,confirmed,160 E 78th St,NY,,,NJ:28
TREGAN PARTNERS,28,corrected,"One Logan Square, 130 North 18th Street, Suite 1300, Philadelphia, PA",PA,"200 Crescent Court, Suite 1040",TX,TX:28
SPENCER FANE LLP,28,confirmed,"1 Westbrook Corporate Center, Suite 1200",MO,,,TX:27; CA:1
ENCOMPASS HEALTHCARE,27,confirmed,1 Freedom Way,AL,,,MI:16; TX:11
KELLER WILLIAMS,27,confirmed,"1221 South Mopac Expressway, Suite 400",TX,,,CA:17; NY:6; OR:3
OLD CITY INVESTMENT PARTNERS,27,corrected,"1730 Market St, Suite 1510, Philadelphia, PA",PA,"589 5th Avenue, PH",NY,NJ:25; NY:2
KAWESCH LAW GROUP,27,corrected,"7330 NW 36th Street, Suite 30, Miami, FL",FL,6 Garner Street,MA,MA:27
BAYVIEW ASSET MANAGEMENT,26,corrected,"1000 N West St, Suite 1200, Wilmington, DE",DE,4425 Ponce de Leon Boulevard,FL,FL:23; CO:2; NY:1
DATA.WORLD,26,corrected,"1600 Amphitheatre Pkwy, Mountain View, CA",CA,"701 Brazos St., Suite 519",TX,TX:26
BNB REALTY,26,corrected,"26 Broadway, Suite 301, New York, NY",NY,3665 Woodhead Dr,IL,IL:26
COVINGTON & BURLING LLP,26,confirmed,"One CityCenter, 850 Tenth St NW",DC,,,MD:24; CA:1; NY:1
PLS FINANCIAL SERVICES,26,corrected,"101 N. Colonnade Center, Suite 310, Carmel, IN",IN,"1 S Wacker Drive, 36th Floor",IL,IL:26
MEDSTAR HEALTH,26,corrected,"110 Irving St NW, Washington, DC",DC,10980 Grantchester Way,MD,MD:26
INDEPENDENT CHEMICAL CORP,26,corrected,"24425 Northwestern Hwy, Southfield, MI",MI,79-51 Cooper Avenue,NY,NY:26
"SURFACE TECHNOLOGY, INC",26,corrected,"1011 W 124th Ave, Thornton, CO",CO,1405 Lower Ferry Rd,NJ,NJ:26
HD SUPPLY,25,corrected,"13995 Pasteur Blvd, Jacksonville, FL",FL,3400 Cumberland Blvd SE,GA,GA:25
CATALYST CAPITAL ADVISORS,25,corrected,"3000 Sand Hill Road, Bldg 2, Suite 200, Menlo Park, CA",CA,"36 N New York Avenue, Floor 3",NY,NY:25
ROCKEFELLER CAPITAL MANAGEMENT,25,confirmed,"219 Lexington Ave, 19th Floor",NY,,,FL:14; NJ:5; GA:5
FOX ROTHSCHILD,25,confirmed,"2000 Market Street, 20th Floor",PA,,,NJ:22; NY:2; WA:1
FOLEY,25,corrected,"3000 K Street NW, Washington, DC",DC,777 East Wisconsin Avenue,WI,TX:25
THRIVE PET HEALTHCARE,25,corrected,"1209 Orange Street, Wilmington, DE",DE,"211 Walter Seaholm Drive, Suite 200",TX,CA:25
WEITZ & LUXENBERG,25,confirmed,700 Broadway,NY,,,PA:19; AZ:6
DELOITTE TAX LLP,25,confirmed,30 Rockefeller Plaza,NY,,,MD:25
BASCO INC,25,corrected,"7201 Snider Rd, Mason, OH",OH,2595 Palmer Ave,IL,TX:22; MI:3
AGREE REALTY CORPORATION,24,corrected,"1313 North Arlington Heights Road, Suite 300, Arlington Heights, IL",IL,32301 Woodward Avenue,MI,MI:24
MARBLEGATE ASSET MANAGEMENT,24,corrected,"285 Madison Avenue, 10th Floor, New York, NY",NY,"5 Greenwich Office Park, Suite 400",CT,CT:24
OPTUM,24,confirmed,11000 Optum Circle,MN,,,WA:13; NY:5; CT:2
"FEDERAL INDUSTRIES, INC",24,corrected,"80 Broad St, New York, NY",NY,645 Hawaii St,CA,CA:24
POSTERMEDIA,24,unknown,900 New York Ave NW Suite 300,DC,,,FL:24
"ARTISTIC TILE, INC",24,corrected,"39-04 29th Street, Long Island City, NY",NY,520 Secaucus Road,NJ,FL:23; NJ:1
"PRIMARY ARMS, LLC",24,corrected,"2147 E Broadway Blvd, Tucson, AZ",AZ,"3219 South Sam Houston Parkway East, Ste 100",TX,TX:24
HARRIS WILLIAMS,23,confirmed,"1001 Fleet St, Suite 700",VA,,,NY:17; NJ:6
AXIOM,23,corrected,"3801 Piper Rd, Suite 400, Sarasota, FL",FL,33 Benedict Place,CT,CT:18; CA:5
FNF,23,confirmed,601 Riverside Ave,FL,,,CA:23
COMCAST,23,confirmed,"One Comcast Center, 1701 John F Kennedy Blvd",PA,,,NJ:22; FL:1
CLOUDERA,23,confirmed,"5470 Great America Parkway, Suite 200",CA,,,MA:23
ROSS ARONSTAM & MORITZ LLP,23,corrected,"1420 Walnut St, Suite 1000, Philadelphia, PA",PA,"1313 North Market Street, Suite 1001",DE,DE:23
MARYS MERCY CENTER,23,corrected,"207 South Broadway, St. Louis, MO",MO,641 Roberds Ave N,CA,CA:23
VALLEY HEALTH SYSTEM,23,confirmed,1 Medical Center Drive,VA,,,NJ:23
WALKER & DUNLOP,23,corrected,"1400 McKinney Street, Suite 1000, Houston, TX",TX,"7272 Wisconsin Avenue, Suite 1300",MD,NY:22; MD:1
STIFEL NICOLAUS,23,confirmed,501 N Broadway,MO,,,FL:23
CHAIR KING BACKYARD STORE,23,corrected,"1460 S Pacific Coast Hwy, Wilmington, CA",CA,5405 W Sam Houston Pkwy N,TX,TX:23
ALMAR SALES CO,23,corrected,"700 N BRAND BLVD STE 600, GLENDALE, CA",CA,"320 5th Ave, 3rd Floor",NY,NY:23
IOHK,23,corrected,"301 East 57th Street, New York, NY",NY,"2015 Ionosphere Street, Suite 201",CO,CO:23
DIAMOND VENTURES,22,corrected,"500 Terry A Francois Blvd, Suite 300, San Francisco, CA",CA,"2200 East River Road, Suite 115",AZ,AZ:22
VIAWEST GROUP,22,corrected,"1000 Town Center Drive, Suite 300, Southfield, MI",MI,"2390 E. Camelback Rd, Ste. 305",AZ,AZ:22
RYAN LLC,22,corrected,"1201 W Lake St Suite 400, Chicago, IL",IL,8101 Windrose Avenue Suite 2000,TX,TX:18; FL:3; MD:1
AMERICAN TECHNION SOCIETY,21,confirmed,"600 Third Avenue, 7th Floor",NY,,,WA:20; CA:1
IRA FINANCIAL,21,corrected,"6 West Hubbard Street, Suite 360, Chicago, IL",IL,5109 S Broadband Lane,SD,FL:21
ALIX PARTNERS,21,corrected,"2000 Town Center, Suite 1900, Southfield, MI",MI,909 3rd Ave,NY,NJ:20; NY:1
LUMINA INVESTMENT ADVISORS,21,corrected,"130 N 18th Street, Suite 1700, Philadelphia, PA",PA,"20900 NE 30th Ave, Suite 310",FL,FL:21
DORADO BEACH RESORT/CPG REAL ESTATE,21,corrected,"Dorado Beach, Ritz-Carlton Reserve (CPG-related), Dorado, PR",PR,"440 Columbia Drive, Suite 103",FL,FL:21
THE CARLYLE GROUP,21,confirmed,1001 Pennsylvania Avenue NW,DC,,,NY:21
THE STRO COMPANIES,21,corrected,"1390 Willow Pass Rd, Ste 600, Concord, CA",CA,"104 Chestnut St, Suite 300",NJ,NJ:21
VEDDER PRICE,21,confirmed,222 N LaSalle St,IL,,,CA:21
A& R KATZ MANAGEMENT,21,corrected,"600 Third Avenue, New York, NY",NY,3175 Commercial Ave Ste 100,IL,IL:21
WYSH,21,corrected,"120 Broadway, 37th Floor, New York, NY",NY,720 E Wisconsin Ave,WI,KY:21
STRUCK CAPITAL,21,corrected,"299 Park Ave, Floor 33, New York, NY",NY,1520-D Cloverfield Blvd,CA,CA:21
QUARLES & BRADY LLP,21,confirmed,"33 East Main Street, Suite 900",WI,,,IL:15; AZ:6
"ALTUS CAPITAL PARTNERS, INC",21,corrected,"45 EAST 20TH ST STE 1100, NEW YORK, NY",NY,"10 Westport Road, Suite C204",CT,CT:21
STEIN INDUSTRIES INC,21,corrected,"200 Larkin Ave, San Francisco, CA",CA,7153 Northland Drive North,MN,FL:14; MN:7
AMERICAN INDUSTRIAL PARTNERS,20,confirmed,712 Fifth Avenue,NY,,,FL:13; IL:7
ARENTFOX SCHIFF,20,confirmed,1301 K Street NW,DC,,,NY:9; CA:7; IL:4
EPIC CLEANTEC,20,corrected,"1201 Third Ave, Suite 2200, Seattle, WA",WA,449 10th St,CA,CA:20
ETKIN JOHNSON REAL ESTATE PARTNERS,20,corrected,"400 Rella Boulevard, Suite 165, Hewlett, NY",NY,"1512 Larimer Street, Suite 100 (Bridge Level)",CO,CO:20
AMROCK HOLDINGS,20,corrected,"250 Peachtree Street NE, Suite 2200, Atlanta, GA",GA,662 Woodward Ave,MI,MI:20
LLR PARTNERS,20,corrected,"1280 Avenue of the Americas, 25th Floor, New York, NY",NY,"2929 Arch Street, Cira Centre",PA,PA:20
PROFICIO CAPITAL PARTNERS,20,corrected,"605 Third Avenue, 35th Floor, New York, NY",NY,"300 Washington Street, Suite 951",MA,MA:17; FL:3
MCDERMOTT,20,corrected,"333 South Grand Avenue, 47th Floor, Los Angeles, CA",CA,915 N Eldridge Pkwy,TX,FL:19; TX:1
SSI INVESTMENT MANAGEMENT,20,corrected,"1 New York Plaza, New York, NY",NY,"2121 Avenue of the Stars, Suite 2050",CA,CA:20
MKDA,20,corrected,"6 Beacon St, Boston, MA",MA,"902 Broadway, 17th Floor",NY,NY:17; FL:3
WILSON SONSINI,20,confirmed,650 Page Mill Road,CA,,,NJ:18; WA:1; DC:1
RT SPECIALTY,20,corrected,"55 Water Street, 32nd Floor, New York, NY",NY,"180 N Stetson Ave, Suite 4600",IL,IL:20
"FLAGER & ASSOCIATES, PC",20,corrected,"200 E Broward Blvd, Suite 1110, Fort Lauderdale, FL",FL,"One Northbrook Corporate Center, 1210 Northbrook Drive, Ste 280",PA,PA:20
CUSHMAN & WAKEFIELD,20,corrected,"1290 Avenue of the Americas, New York, NY",NY,"225 West Wacker Drive, Suite 3000",IL,CA:13; MD:5; NJ:2
RED FOX CAPITAL PARTNERS,20,corrected,"3200 Cherry Creek South Drive, Suite 610, Denver, CO",CO,1960 Queens Road West,NC,NC:20
BRONNER GROUP,19,corrected,"400 W Peachtree St NW, Suite 1640, Atlanta, GA",GA,"120 N. LaSalle Street, Suite 1300",IL,IL:19
CBIZ,19,confirmed,"6055 Rockside Woods Boulevard, Suite 200",OH,,,PA:9; NY:7; CA:3
LISCR,19,confirmed,766 Duke Street,VA,,,MD:15; FL:4
SULLIVAN & WORCESTER LLP,19,corrected,"1633 Broadway, 32nd Floor, New York, NY",NY,1 Post Office Square,MA,NH:19
MORRIS BART & ASSOCIATES LLC,19,corrected,"1200 Northeast 127th Street, North Miami, FL",FL,"601 Poydras Street, 24th Floor",LA,LA:19
"THE PERLES LAW FIRM, PC",19,corrected,"321 N Clark St, Suite 2200, Chicago, IL",IL,"1050 Connecticut Ave NW, Suite 500",DC,FL:19
ELMAN RETINA GROUP,18,corrected,"4650 Executive Drive, Suite 100, San Diego, CA",CA,"9114 Philadelphia Road, Suite 310",MD,MD:18
LEVINE ORGANIZATION,18,corrected,"200 S Orange Ave, Suite 1100, Orlando, FL",FL,"445 Broadhollow Rd, Suite 430",NY,NY:18
ACTION BEHAVIOR CENTERS,18,corrected,"2200 Powell St, Suite 104, Emeryville, CA",CA,"2100 Kramer Lane, Suite 150",TX,TX:18
IPFS,18,corrected,"3200 N Central Ave, Phoenix, AZ",AZ,"1055 Broadway Blvd, 11th Floor",MO,KS:18
MITTELMAN PLASTIC SURGERY,18,corrected,"120 E Palmetto Park Rd, Suite 200, Boca Raton, FL",FL,810 Altos Oaks Drive,CA,CA:18
MDC HOLDINGS,18,unknown,5353 West Alabama Street,TX,,,CO:17; CA:1
SIGNAL BRANDS,18,corrected,"1400 16th St NW, Suite 600, Washington, DC",DC,"5600 West Adams, Suite 200",CA,CA:18
TEMPUS AI,18,corrected,"6000 Fairview Rd, Suite 120, Charlotte, NC",NC,"600 West Chicago Avenue, Suite 510",IL,IL:18
MILL CREEK RESIDENTIAL TRUST,18,corrected,"300 Pryor St SW, Atlanta, GA",GA,"4855 Technology Way, Suite 400",FL,TX:18
ROPES & GRAY LLP,18,confirmed,"Prudential Tower, 800 Boylston St",MA,,,NY:18
PWC US TAX LLP,18,confirmed,300 Madison Avenue,NY,,,CA:10; CT:8
UBS WEALTH MANAGEMENT,18,corrected,"1285 Avenue of the Americas, New York, NY",NY,1200 Harbor Boulevard,NJ,CA:18
GOLDHABER POLICY SERVICES LLC,18,corrected,"555 W 57th St, New York, NY",NY,4112 Gardenlake Drive,NC,NC:18
ALASKA IMAGING ASSOCIATES,17,confirmed,"3100 Providence Drive, Suite 200",AK,,,TX:17
ASPEN SQUARE MANAGEMENT,17,corrected,"225 W Washington St, Suite 2600, Chicago, IL",IL,"67 Hunt Street, Suite 206",MA,CT:16; MA:1
EISENBERG ROTHWEILER,17,corrected,"305 Broadway, Floor 7, New York, NY",NY,1634 Spruce Street,PA,PA:17
CAMBRIDGE INFORMATION GROUP,17,corrected,"245 FIRST STREET, SUITE 300, CAMBRIDGE, MA",MA,"888 7th Avenue, 17th Floor",NY,FL:8; NY:6; MD:3
HEALTH ADVOCATES,17,corrected,"1 University Plaza Dr, Suite 412, Hackensack, NJ",NJ,"21540 Plummer Street, Suite B",CA,CA:17
HUDSON ADVISORS,17,confirmed,"Wells Fargo Tower, 301 Commerce Street, Suite 3300",TX,,,NY:17
RIDA DEVELOPMENT CORPORATION,17,corrected,"1330 Avenue of the Americas, 11th Floor, New York, NY",NY,"1777 Walker St, Suite 501",TX,TX:17
MONUMENT ADVOCACY,17,corrected,"55 West 39th Street, Suite 1701, New York, NY",NY,"975 F Street NW, Suite 400",DC,WA:17
TRIUS LENDING PARTNERS,17,corrected,"1100 NW 163rd Dr, Suite 100, Beaverton, OR",OR,"1104 Kenilworth Dr, Suite 501",MD,MD:17
TMB,17,corrected,"1 N LaSalle St, Chicago, IL",IL,527 Park Avenue,CA,CA:17
THE MINKOFF GROUP,17,corrected,"20130 Century Blvd, Germantown, MD",MD,6272 Virgo Road,CA,CA:17
CUTLER MANAGEMENT CORP,17,corrected,"1000 N West St, Suite 1200, Wilmington, DE",DE,43 Harvard Street,MA,FL:17
STONE HOUSE PARTNERS,17,corrected,"200 Clarendon St, 32nd Floor, Boston, MA",MA,"1019 Kane Concourse, Suite 202",FL,FL:17
MAI CAPITAL MANAGEMENT LLC,17,corrected,"605 Third Avenue, 32nd Floor, New York, NY",NY,"6050 OAK TREE BLVD, SUITE 500",OH,MD:17
FIRSTSERVICE RESIDENTIAL,16,corrected,"8500 Normandale Lake Blvd, Suite 700, Bloomington, MN",MN,"1855 Griffin Road, Suite A-330",FL,FL:16
ACQUAVIVA WINERY,16,corrected,"16050 Vineyard Trail, Lodi, CA",CA,47W614 Route 38,IL,IL:16
ARTIMUS,16,corrected,"141 West Jackson Boulevard, Suite 2310, Chicago, IL",IL,316 West 118th Street,NY,CT:9; NY:7
JSSI,16,corrected,"200 International Drive, Suite 300, Portsmouth, NH",NH,"167 N Green St, Ste 1300",IL,IL:16
PEGASUS INVESTMENTS,16,corrected,"6400 Arlington Blvd, Suite 500, Falls Church, VA",VA,"1901 Avenue of the Stars, Suite 630",CA,CA:16
PINNACLE,16,unknown,"4250 North Fairfax Drive, Suite 900",VA,,,NY:16
TRAMMO,16,corrected,"700 Town Center Drive, Suite 380, Costa Mesa, CA",CA,"8 West 40th Street, 12th Floor",NY,FL:16
CASSIDY TURLEY,16,unknown,100 Summer St,MA,,,CA:16
PRISM REAL ESTATE SERVICES LLC,16,unknown,"7700 SAN FELIPE, SUITE 500",TX,,,KS:16
MORGAN LEWIS,16,confirmed,1701 Market Street,PA,,,MA:16
S JONAS ASSOCIATES LLC,16,corrected,"330 N Wabash Ave, Suite 2100, Chicago, IL",IL,215 West 90th St,NY,NY:16
SIRIS CAPITAL LLC,16,corrected,"1345 Avenue of the Americas, 36th Floor, New York, NY",NY,"777 S. Flagler Drive, Suite 1400",FL,FL:16
SIDLEY,16,corrected,"1501 K Street NW, Washington, DC",DC,"One South Dearborn, 1 S Dearborn St",IL,CA:16
WAYPOINT,16,unknown,1 Manhattanville Road,NY,,,IL:16
CANAL CARTAGE COMPANY,15,corrected,"2611 W 47th St, Chicago, IL",IL,11643 Wallisville Rd Unit A,TX,TX:15
FEDERAL GOVERNMENT,15,confirmed,1600 Pennsylvania Avenue NW,DC,,,MD:6; VA:5; NY:4
FOOT LOCKER,15,corrected,"3300 NW 114th St, Miami, FL",FL,330 West 34th Street,NY,NJ:15
DOMINION ELECTRIC SUPPLY,15,corrected,"8007 Assembly Drive, Raleigh, NC",NC,5053 Langston Boulevard,VA,MD:15
HEI HOTELS,15,corrected,"1410 Avenida Acaso, Suite 200, Pacific Palisades, CA",CA,"101 Merritt 7 Corporate Park, 1st Floor",CT,FL:15
H.W. KAUFMAN,15,corrected,"1133 NE 45th St, Suite 200, Seattle, WA",WA,30833 Northwestern Hwy #220,MI,MI:15
EMA INVESTMENTS,15,unknown,One Rockefeller Plaza,NY,,,NJ:15
HRC-FERTILITY,15,corrected,"1040 Park Avenue, 7th Floor, New York, NY",NY,"55 S. Lake Ave, 9th Floor",CA,CA:15
IPRO,15,corrected,"1700 West Park Drive, Westborough, MA",MA,"300 Jericho Quadrangle, Suite 300",NY,NY:15
MCGUIREWOODS,15,confirmed,"Gateway Plaza, 800 East Canal Street",VA,,,CA:9; NC:6
MASSMUTUAL,15,confirmed,1 Financial Plaza,MA,,,NY:11; AL:4
IDEAL FASTNER CORPORATION,15,corrected,"603 West Industry Drive, Oxford, NC",NC,10800 Biscayne Blvd Suite 400,FL,TX:15
ROWLEY COMPANY,15,corrected,"65 Commerce Way, Wakefield, MA",MA,230 Meek Road,NC,TX:15
OPC POLYMERS,15,corrected,"1540 West 206th Street, Torrance, CA",CA,1920 Leonard Ave,OH,OH:15
ROADSIDE DEVELOPMENT,15,confirmed,"1730 Rhode Island Ave NW, Suite 410",DC,,,MD:15
THE VISION COUNCIL,15,corrected,"1400 K Street NW, Suite 450, Washington, DC",DC,"225 Reinekers Ln, Suite 700",VA,NJ:15
WELLINGTON RADIOLOGY,15,corrected,"12100 W Forest Hill Blvd, Suite 200, Wellington, FL",FL,836 W Wellington Ave,IL,IL:15
