committee_name,contributor_state,address,city,address_state,zip,note,rows,amount
BELL FOR MISSOURI,DC,,,,,,804,41379
LANDSMAN FOR CONGRESS,OH,,,,,,749,40769
SCALISE FOR CONGRESS,LA,,,,,,594,40384
BARAKA REALTY CO.,NY,,,,,,1,40000
GARSON & ASSOCIATES,OH,,,,,,1,40000
SCHNEIDER FOR CONGRESS,IL,,,,,,702,38527
TED LIEU FOR CONGRESS,CA,,,,,,706,37683
GRACE FOR NEW YORK,NY,,,,,,725,37637
GLENN IVEY FOR CONGRESS 2022,MD,,,,,,1181,37365
JARED MOSKOWITZ FOR CONGRESS,FL,,,,,,664,36474
MJDL,NY,,,,,,1,36000
QUICK QUALITY RESTAURANTS,NJ,,,,,,1,36000
PROBITY INTERNATIONAL,CA,,,,,,1,35000
STEVE IRWIN FOR CONGRESS,PA,,,,,,1504,34947
CORY BOOKER FOR SENATE,NJ,,,,,,403,34870
BRIAN FITZPATRICK FOR ALL OF US,PA,,,,,,554,34701
MAST FOR CONGRESS,FL,,,,,,580,34328
LOIS FRANKEL FOR CONGRESS,FL,,,,,,679,33586
KATHERINE CLARK FOR CONGRESS,DC,,,,,,531,32543
FRIENDS OF MARK WARNER,VA,,,,,,373,32238
FRIENDS FOR GREGORY MEEKS,NY,,,,,,532,31478
ELAINE FOR CONGRESS,VA,,,,,,1007,30929
KEAN FOR CONGRESS,NJ,,,,,,533,30305
CLEVELAND BUILDING AND CONSTRUCTION TRADES COUNCIL,OH,,,,,,1,30000
LK DAYTON INVESTMENTS,FL,,,,,,1,30000
FRIENDS OF JOHN BARRASSO,WY,,,,,,486,29812
TONY GONZALES FOR CONGRESS,TX,,,,,,660,29607
MONTANANS FOR TESTER,MT,,,,,,545,29238
BOB CASEY FOR SENATE,PA,,,,,,500,28987
TEXANS FOR SENATOR JOHN CORNYN,TX,,,,,,295,28828
FRIENDS OF LUCY MCBATH,GA,,,,,,490,28779
ELISE FOR CONGRESS,NY,,,,,,436,26846
MCCAUL FOR CONGRESS,TX,,,,,,401,25728
SHONTEL BROWN FOR CONGRESS,OH,,,,,,888,25308
COLE FOR CONGRESS,OK,,,,,,369,25277
SHERMAN FOR CONGRESS,CA,,,,,,447,25101
BAILEY NUGGET PARTNERS,TX,,,,,,1,25000
CAPITAL RESOURCES GROWTH,CO,,,,,,1,25000
COLUMBUS 60TH REALTY,NY,,,,,,1,25000
CURFIN HOLDING CO.,IL,,,,,,1,25000
DELUXE BUILDING REALTY,NY,,,,,,1,25000
EAST 77TH REALTY,NY,,,,,,1,25000
EATON STEEL CORPORATION,MI,,,,,,1,25000
FIRST FINISH,MD,,,,,,1,25000
HARMAG,MD,,,,,,1,25000
HMR PHD,NY,,,,,,1,25000
JUBILEE PROPERTY GROUP,DC,,,,,,1,25000
KATZ INVESTMENTS,FL,,,,,,1,25000
KNESETH ISRAEL CONGREGATION,OH,,,,,,1,25000
L PAC,DC,,,,,,2,25000
RST DEVELOPMENT,MD,,,,,,1,25000
SPM REAL ESTATE SPRINGBORO,OH,,,,,,1,25000
DEB FISCHER FOR US SENATE,NE,,,,,,471,24579
MID MANHATTAN POLITICAL ACTION COMMITTEE (MID PAC),NY,,,,,,9,24500
ANGIE CRAIG FOR CONGRESS,MN,,,,,,431,23992
JIMMY PANETTA FOR CONGRESS,CA,,,,,,384,23470
ALASKANS FOR DAN SULLIVAN,AK,,,,,,285,23288
FOUSHEE FOR CONGRESS,NC,,,,,,952,22950
MENENDEZ FOR CONGRESS,NJ,,,,,,423,22039
JIM RISCH FOR U S SENATE COMMITTEE,ID,,,,,,288,21910
GUY FOR CONGRESS,PA,,,,,,377,21546
CHRIS PAPPAS FOR CONGRESS,NH,,,,,,410,21204
ALERICA,FL,,,,,,1,20900
HOYER FOR CONGRESS,DC,,,,,,423,20545
BPRINT INVESTMENTS,FL,,,,,,1,20000
REJI G,NY,,,,,,1,20000
YOUNG KIM FOR CONGRESS,CA,,,,,,376,19893
RICK SCOTT FOR FLORIDA,FL,,,,,,331,19874
JOANNA WEISS FOR CONGRESS,CA,,,,,,262,19782
KATHY MANNING FOR CONGRESS,NC,,,,,,428,19067
DAN GOLDMAN FOR NEW YORK,NY,,,,,,266,18832
TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,TX,,,,,,388,18532
DSCC,DC,,,,,,16,18496
ADAM SMITH FOR CONGRESS COMMITTEE,WA,,,,,,305,17698
PAT RYAN FOR CONGRESS,NY,,,,,,288,17633
BILL CASSIDY FOR US SENATE,LA,,,,,,226,17443
MICHELLE STEEL FOR CONGRESS,CA,,,,,,378,17328
WICKER FOR SENATE,MS,,,,,,282,17051
FRIENDS OF ISRAEL POLITICAL ACTION COMMITTEE - FIPAC,CA,,,,,,7,17000
FRIENDS OF MARIA,WA,,,,,,332,16621
NRSC,DC,,,,,,27,16596
DNA HOLDINGS,CA,,,,,,1,16000
DARREN SOTO FOR CONGRESS,FL,,,,,,272,15849
MARSHA FOR SENATE,TN,,,,,,299,15810
CRAMER FOR SENATE,ND,,,,,,261,15534
CAPITO FOR WEST VIRGINIA,WV,,,,,,179,15381
ADRIANO ESPAILLAT FOR CONGRESS,NY,,,,,,265,15277
JOE NEGUSE FOR CONGRESS,CO,,,,,,258,15258
MESSMER FOR CONGRESS,IN,,,,,,241,15201
SCHIFF FOR SENATE,DC,,,,,,294,15035
SHEILA CHERFILUS MCCORMICK FOR CONGRESS,DC,,,,,,297,14624
HICKENLOOPER FOR COLORADO,CO,,,,,,203,14158
JIMMY GOMEZ FOR CONGRESS,DC,,,,,,253,13962
DAN CRENSHAW FOR CONGRESS,TX,,,,,,240,13872
ANN WAGNER FOR CONGRESS,MO,,,,,,267,13489
JIM COSTA FOR CONGRESS,CA,,,,,,216,13038
KLOBUCHAR FOR MINNESOTA,MN,,,,,,250,12855
MARIE FOR CONGRESS,WA,,,,,,216,12797
CJ ASSOCIATES,NY,,,,,,1,12500
JEFFRIES VICTORY FUND,DC,"430 S Capitol St SE, 2nd Floor",Washington,DC,20003,Hakeem Jeffries — joint fundraising committee,20,12500
JOE WILSON FOR CONGRESS,SC,,,,,,231,12311
THOM TILLIS COMMITTEE,NC,,,,,,153,12113
JONI FOR IOWA,IA,,,,,,123,11731
VICENTE GONZALEZ FOR CONGRESS,TX,,,,,,239,11464
BANKS FOR SENATE,IN,,,,,,180,11380
KANSANS FOR MARSHALL,KS,,,,,,138,11151
MIKE LEVIN FOR CONGRESS,CA,,,,,,209,11104
CHRIS PAPPAS FOR SENATE,NH,,,,,,134,11064
INDY PASS HOLDINGS,CO,,,,,,1,10800
CHRIS COONS FOR DELAWARE,DE,,,,,,137,10766
DONALD NORCROSS FOR CONGRESS,NJ,,,,,,261,10626
CINDY HYDE-SMITH FOR US SENATE,MS,,,,,,170,10466
MIKE GARCIA FOR CONGRESS,CA,,,,,,211,10088
DANZIGER & DELLANO,TX,,,,,,1,10000
HERTER LIMITED PARTNERSHIP,NY,,,,,,1,10000
LORINE HABERLAND ALBERT FOUNDATION,MO,,,,,,1,10000
NEW DEMOCRAT COALITION ACTION FUND,DC,,,,,,1,10000
PREYLOCK REAL ESTATE HOLDINGS,CA,,,,,,1,10000
RNS ASSOCIATES,FL,,,,,,1,10000
SELIG ENTERPRISES,GA,,,,,,1,10000
MIKE GALLAGHER FOR WISCONSIN,WI,,,,,,147,9912
JIM JORDAN FOR CONGRESS,OH,,,,,,143,9777
SINEMA FOR ARIZONA,AZ,,,,,,166,9751
SOLOW AND CO,NY,,,,,,3,9600
MULLIN FOR AMERICA,OK,,,,,,146,9439
MAX MILLER FOR CONGRESS,OH,,,,,,115,9287
HUDSON FOR CONGRESS,NC,,,,,,124,9144
SCHOLTEN FOR CONGRESS,MI,,,,,,221,9073
JOSH HAWLEY FOR SENATE,MO,,,,,,146,9014
KAY GRANGER CAMPAIGN FUND,TX,,,,,,88,8862
SHRI FOR CONGRESS,MI,,,,,,201,8839
DELBENE FOR CONGRESS,WA,,,,,,237,8837
GILLEN FOR NY,NY,,,,,,124,8772
PEOPLE FOR PATTY MURRAY,WA,,,,,,194,8589
FRIENDS OF RAJA FOR CONGRESS,IL,,,,,,108,8486
FRIENDS OF JOHN THUNE,SD,,,,,,149,8392
AUGUST PFLUGER FOR CONGRESS,TX,,,,,,152,8150
BLUEWEST MEDIA,CO,,,,,,1,8082
NICOLE FOR NEW YORK,NY,,,,,,186,8079
GARBARINO FOR CONGRESS,NY,,,,,,165,8061
MATALON FAMILY PARTNERSHIP,FL,,,,,,1,8000
RUDY FOR INDIANA,VA,,,,,,133,7918
BLUMENTHAL FOR CONNECTICUT,CT,,,,,,154,7803
ADAM HOLLIER FOR CONGRESS,MI,,,,,,324,7795
NEVADANS FOR STEVEN HORSFORD,NV,,,,,,136,7778
VIRGINIA FOXX FOR CONGRESS,NC,,,,,,194,7777
JOE MORELLE FOR CONGRESS,NY,,,,,,198,7772
EMILIA SYKES FOR CONGRESS,OH,,,,,,165,7745
ELIZABETH PANNILL FLETCHER FOR CONGRESS,TX,,,,,,147,7667
THE PHONE CONSULTANTS,CA,,,,,,1,7151
RON JOHNSON FOR SENATE,WI,,,,,,152,7114
MARK GREEN FOR CONGRESS,TN,,,,,,98,7006
JAIME FOR CONGRESS,WA,,,,,,60,7002
JAKE ELLZEY FOR CONGRESS,TX,,,,,,118,6861
WENSTRUP FOR CONGRESS,OH,,,,,,39,6858
HERN FOR CONGRESS,OK,,,,,,66,6795
LORI CHAVEZ-DEREMER FOR CONGRESS,OR,,,,,,144,6689
HAMBURGER STRATEGIES,DC,,,,,,1,6626
FRIENDS OF DAVID SCHWEIKERT,AZ,,,,,,150,6482
WHITEHOUSE FOR SENATE,RI,,,,,,114,6445
MICHAEL WALTZ FOR CONGRESS,FL,,,,,,141,6354
HUSTED FOR SENATE,OH,,,,,,57,6303
APRIL MCCLAIN DELANEY FOR CONGRESS,MD,,,,,,75,6068
BENNET FOR COLORADO,CO,,,,,,136,6063
LISA MCCLAIN FOR CONGRESS,MI,,,,,,75,6059
FRIENDS OF MIKE LEE,UT,,,,,,100,6043
HOEVEN FOR SENATE,ND,,,,,,133,6022
MAGGIE FOR CONGRESS,NH,,,,,,103,5929
VALADAO FOR CONGRESS,CA,,,,,,124,5918
KUSTOFF FOR CONGRESS,TN,,,,,,95,5877
TITUS FOR CONGRESS,NV,,,,,,192,5823
AMALGAMATED INVESTMENT SERVICES,NY,,,,,,2,5725
THE GREAT TASK,WY,,,,,,31,5703
AMALGAMATED BANK,DC,,,,,,3,5658
LALOTA FOR CONGRESS,NY,,,,,,97,5639
DEAN PHILLIPS FOR CONGRESS,MN,,,,,,99,5611
DAN NEWHOUSE FOR CONGRESS,WA,,,,,,127,5568
TWIN CITY FAN COMPANY,MN,,,,,,1,5500
KENNEDY FOR CONGRESS,NY,,,,,,66,5492
MAGGIE FOR NH,NH,,,,,,141,5435
GRASSLEY COMMITTEE,IA,,,,,,120,5428
ROUNDS FOR SENATE,SD,,,,,,111,5385
MILLER-MEEKS FOR CONGRESS,IA,,,,,,90,5337
CARAVEO FOR CONGRESS,CO,,,,,,92,5303
STEIL FOR WISCONSIN,WI,,,,,,98,5208
LISA MURKOWSKI FOR US SENATE,AK,,,,,,103,5148
DCCC,DC,,,,,,3,5076
JANICE WINFREY FOR CONGRESS,MI,,,,,,120,5049
WOMACK FOR CONGRESS COMMITTEE,AR,,,,,,102,5049
FAMILIES FOR JAMES LANKFORD,OK,,,,,,76,5005
GOETHE INVESTMENT CORPORATION,IL,,,,,,1,5000
MCM EQUITIES MAMIYE BROTHERS,NJ,,,,,,1,5000
RANGER CAPITAL CORPORATION,IL,,,,,,1,5000
THE CORMAC GROUP,DC,,,,,,1,5000
NIKEMA FOR CONGRESS,GA,,,,,,98,4970
MARC FOR US,NY,,,,,,103,4938
TAMMY FOR ILLINOIS,IL,,,,,,118,4866
NRCC,DC,,,,,,29,4844
IOWANS FOR ZACH NUNN,IA,,,,,,91,4730
KEVIN MULLIN FOR CONGRESS,CA,,,,,,111,4701
DR KIM SCHRIER FOR CONGRESS,WA,,,,,,137,4683
FRIENDS OF JIM CLYBURN,SC,,,,,,93,4624
JOHN JAMES FOR CONGRESS,MI,,,,,,68,4577
ERIC SORENSEN FOR ILLINOIS,IL,,,,,,109,4574
JEFFRIES MAJORITY FUND,DC,,,,,,36,4568
FRIENDS OF TODD YOUNG,IN,,,,,,76,4533
FRIENDS OF SCHUMER,NY,,,,,,87,4521
BRITT FOR ALABAMA,AL,,,,,,89,4502
DAVID TRONE FOR CONGRESS,MD,,,,,,111,4487
CLAUDIA TENNEY FOR CONGRESS,NY,,,,,,127,4469
MORAN FOR KANSAS,KS,,,,,,63,4408
CATHERINE CORTEZ MASTO FOR SENATE,NV,,,,,,104,4368
ALEX PADILLA FOR SENATE,CA,,,,,,99,4362
BARRAGAN FOR CONGRESS,CA,,,,,,99,4305
LAHOOD FOR CONGRESS,IL,,,,,,101,4258
MOODY FOR FLORIDA,FL,,,,,,42,4229
SPANBERGER FOR CONGRESS,VA,,,,,,117,4219
EMILY'S LIST,DC,,,,,,1,4165
REPUBLICAN NATIONAL COMMITTEE,DC,,,,,,3,4130
DAVID SCOTT FOR CONGRESS,GA,,,,,,120,4101
BERA FOR CONGRESS,CA,,,,,,102,4085
KWEISI MFUME FOR CONGRESS,MD,,,,,,65,4041
ROBERT ADERHOLT FOR CONGRESS,AL,,,,,,84,4011
AMERICAN WORKING FAMILIES,VA,,,,,,1,4000
GLENN F IVEY FOR CONGRESS,MD,,,,,,87,3920
ASHLEY HINSON FOR CONGRESS,IA,,,,,,76,3901
JULIE JOHNSON FOR CONGRESS,TX,,,,,,59,3882
BEATTY FOR CONGRESS,OH,,,,,,88,3871
JOSH HARDER FOR CONGRESS,CA,,,,,,92,3822
HUNT FOR CONGRESS,TX,,,,,,118,3790
THE REED COMMITTEE,RI,,,,,,47,3781
ANDREA SALINAS FOR OREGON,OR,,,,,,75,3744
MCHENRY FOR CONGRESS,NC,,,,,,64,3687
TEAM HAGERTY,TN,,,,,,56,3668
GABE AMO FOR CONGRESS,RI,,,,,,72,3664
JASON SMITH FOR CONGRESS,MO,,,,,,62,3651
ROBERT GARCIA FOR CONGRESS,CA,,,,,,138,3595
CRAIG GOLDMAN FOR CONGRESS,TX,,,,,,71,3571
PATRIOTS FOR PERRY,PA,,,,,,91,3533
WEBER FOR CONGRESS,TX,,,,,,84,3480
ANDY BARR FOR CONGRESS,KY,,,,,,150,3444
SF PROPERTIES LLC FEDERAL POLITICAL ACTION COMMITTEE A/K/A SCHOSTAK FAMILY FEDERAL PAC,MI,,,,,,1,3400
BLAKE MOORE FOR CONGRESS,UT,,,,,,70,3388
FRIENDS TO ELECT DR GREG MURPHY TO CONGRESS,NC,,,,,,88,3329
MOULTON FOR CONGRESS,MA,,,,,,47,3320
MIKE BOST FOR CONGRESS COMMITTEE,IL,,,,,,93,3302
LANGWORTHY FOR CONGRESS,NY,,,,,,58,3236
MORGAN MCGARVEY FOR CONGRESS,KY,,,,,,59,3218
SOLOW & CO.,NY,,,,,,1,3200
MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,TX,,,,,,73,3184
RICHARD E NEAL FOR CONGRESS COMMITTEE,MA,,,,,,55,3161
ROB WITTMAN FOR CONGRESS,VA,,,,,,80,3146
PEOPLE FOR DEREK KILMER,WA,,,,,,55,3062
BRANDON FOR CONGRESS NY22,NY,,,,,,70,3044
FRY FOR CONGRESS,SC,,,,,,33,3036
DANIEL WEBSTER FOR CONGRESS,FL,,,,,,93,3032
NIKKI FOR CONGRESS,IL,,,,,,71,3014
CISNEROS FOR CONGRESS,CA,,,,,,68,3007
FALLON FOR CONGRESS,TX,,,,,,56,2972
CELESTE FOR CONGRESS,UT,,,,,,89,2951
LAMBORN FOR CONGRESS,CO,,,,,,57,2916
SHARICE FOR CONGRESS,KS,,,,,,61,2883
VICTORIA SPARTZ FOR CONGRESS,IN,,,,,,57,2878
ANGUS KING FOR U S SENATE CAMPAIGN,ME,,,,,,74,2871
MONICA FOR CONGRESS,TX,,,,,,70,2856
DEBORAH ROSS FOR CONGRESS,NC,,,,,,81,2853
FRIENDS OF MCCORMICK,GA,,,,,,65,2845
FEENSTRA FOR CONGRESS,IA,,,,,,57,2823
SMUCKER FOR CONGRESS,GA,,,,,,71,2776
FRIENDS OF DUSTY JOHNSON,SD,,,,,,58,2774
BETH VAN DUYNE FOR CONGRESS,TX,,,,,,77,2734
SYLVIA GARCIA FOR CONGRESS,TX,,,,,,46,2725
LOUDERMILK FOR CONGRESS,GA,,,,,,64,2693
BALDERSON FOR CONGRESS,OH,,,,,,55,2659
MIKIE SHERRILL FOR CONGRESS,NJ,,,,,,68,2590
VERN BUCHANAN FOR CONGRESS,FL,,,,,,56,2568
VAN DREW FOR CONGRESS,NJ,,,,,,65,2559
NORPAC,NJ,,,,,,3,2500
SALAZAR FOR CONGRESS,FL,,,,,,46,2484
THREE ARBOR INSURANCE,AL,,,,,,1,2472
JULIA LETLOW FOR CONGRESS,LA,,,,,,55,2448
SEAN PATRICK MALONEY FOR CONGRESS,NY,,,,,,44,2427
MARK ALFORD FOR CONGRESS,MO,,,,,,61,2418
BICE FOR CONGRESS,OK,,,,,,61,2417
NANCY MACE FOR CONGRESS,SC,,,,,,62,2414
MRVAN FOR CONGRESS,IN,,,,,,64,2413
CLEAVER FOR CONGRESS,MO,,,,,,54,2397
LUZ RIVAS FOR CONGRESS,CA,,,,,,60,2394
THE BILL KEATING COMMITTEE,MA,,,,,,54,2374
TERRI SEWELL FOR CONGRESS,AL,,,,,,93,2352
LATTA FOR CONGRESS,OH,,,,,,29,2349
MIKE CRAPO FOR US SENATE,ID,,,,,,68,2335
BRITTANY PETTERSEN FOR COLORADO,CO,,,,,,55,2278
JERRY CARL FOR CONGRESS,AL,,,,,,54,2266
KIGGANS FOR CONGRESS,VA,,,,,,41,2228
JEFF HURD FOR CONGRESS,CO,,,,,,44,2214
CLARKE FOR CONGRESS,NY,,,,,,53,2208
ANDY HARRIS FOR CONGRESS,MD,,,,,,46,2205
WILLIAM TIMMONS FOR CONGRESS,SC,,,,,,54,2204
SCHIFF FOR CONGRESS,CA,,,,,,20,2182
WYDEN FOR SENATE,OR,,,,,,35,2173
JIM BANKS FOR CONGRESS,IN,,,,,,33,2168
COURTNEY FOR CONGRESS,CT,,,,,,46,2134
STAND WITH SANCHEZ,CA,,,,,,50,2130
RAUL RUIZ FOR CONGRESS,CA,,,,,,41,2108
COMMITTEE TO ELECT SHOMARI FIGURES FOR CONGRESS,AL,,,,,,39,2064
FRIENDS OF PETER FISHKIND,NY,,,,,,2,2000
WEINER MARC FOUNDATION,IL,,,,,,1,2000
VAN ORDEN FOR CONGRESS,WI,,,,,,37,1973
CURTIS FOR CONGRESS,UT,,,,,,59,1952
BUDDY CARTER FOR CONGRESS,GA,,,,,,34,1929
FRIENDS OF CHRIS SMITH,NJ,,,,,,59,1923
BYRON DONALDS FOR CONGRESS,FL,,,,,,47,1918
COLIN ALLRED FOR CONGRESS,TX,,,,,,34,1910
SIMPSON FOR CONGRESS,ID,,,,,,53,1880
VOTE BAUMGARTNER FOR CONGRESS,WA,,,,,,46,1873
RODNEY FOR CONGRESS,IL,,,,,,39,1868
MARK KELLY FOR SENATE,AZ,,,,,,50,1849
FRIENDS OF NEAL DUNN,FL,,,,,,30,1792
CASTOR FOR CONGRESS,FL,,,,,,83,1786
SELF FOR CONGRESS,TX,,,,,,39,1763
BERGMANFORCONGRESS,MI,,,,,,23,1750
MANN FOR CONGRESS,KS,,,,,,33,1743
GRAVES FOR CONGRESS,MO,,,,,,42,1735
FRENCH HILL FOR ARKANSAS,AR,,,,,,31,1716
INSTITUTE OF SCRAP RECYCLING INDUSTRIES INC. DBA RECYCLED MATERIALS ASSOCIATION PAC,DC,,,,,,1,1675
NATHANIEL MORAN FOR CONGRESS,TX,,,,,,38,1666
CHRISSY HOULAHAN FOR CONGRESS,PA,,,,,,44,1662
JIMMY GOMEZ FOR CONGRESS,CA,,,,,,30,1658
TEXANS FOR JODEY ARRINGTON,TX,,,,,,50,1647
PETER MEIJER FOR CONGRESS,MI,,,,,,29,1622
FRIENDS OF ROSA DELAURO,CT,,,,,,32,1611
BEN CLINE FOR CONGRESS,VA,,,,,,35,1569
KATHERINE CLARK FOR CONGRESS,MA,,,,,,28,1563
COMMITTEE TO ELECT MIKE EZELL,MS,,,,,,34,1545
AMODEI FOR NEVADA,NV,,,,,,49,1540
AUSTIN SCOTT FOR CONGRESS,GA,,,,,,33,1533
CHRIS DELUZIO FOR CONGRESS,PA,,,,,,35,1522
DESPOSITO FOR NEW YORK,NY,,,,,,34,1500
ABE FOR ARIZONA,AZ,,,,,,28,1489
SHEILA CHERFILUS MCCORMICK FOR CONGRESS,FL,,,,,,26,1488
JOHN ROSE FOR TENNESSEE,TN,,,,,,22,1485
SANFORD BISHOP FOR CONGRESS,GA,,,,,,55,1478
SUHAS FOR VIRGINIA,VA,,,,,,41,1477
MCBRIDE FOR DELAWARE,DE,,,,,,49,1472
NAPOLITANO FOR CONGRESS,CA,,,,,,49,1465
