variant,canonical,source
"FISHMAN, BLOCK, DIAMOND, BY CERITY PAR",FISHMAN BLOCK + DIAMOND BY CERITY PARTNERS,manual
"FISHMAN, BLOCK, DIAMOND, BY CERITY PARK, P.C.",FISHMAN BLOCK + DIAMOND BY CERITY PARTNERS,manual
CHIEFTAIN CAPITAL MANAGEMENT INC,CHIEFTAIN CAPITAL MANAGEMENT,manual
FLORIDA-ISRAEL BUSINESS ACCELERATOR (F,FLORIDA-ISRAEL BUSINESS ACCELERATOR (FIBA),manual
FOLEY,FOLEY & LARDNER LLP,manual
FORSYTHE TECHNOLOGY,FORSYTHE TECHNOLOGIES,manual
FRED M. RABINOWITZ,FRED M. RABINOWITZ DDS,manual
GARSON & ASSOCIATES LPA,GARSON & ASSOCIATES CO. LPA,manual
GEARSUPPLY,GEARSUPPLY DIRECT,manual
GEBSCO,GEBSCO REALTY CORP,manual
GEM RC,GEM REALTY CAPITAL,manual
GEM REALTY PROPERTIES,GEM REALTY CAPITAL,manual
GENESIS 10,GENESIS10,manual
GENESIS CORP,GENESIS10,manual
GIBBONS PC,"GIBBONS PC, 1 GATEWAY CTR",manual
GIVNER,GIVNER LAW GROUP,manual
GLASER WEIL FINK HOWARD JORDAN & SHAPI,GLASER WEIL LLP,manual
GLEN UNA DR,GLEN UNA INVESTMENTS,manual
GLEN UNA MANAGEMENT,GLEN UNA INVESTMENTS,manual
GLEN UNA MGMT,GLEN UNA INVESTMENTS,manual
GOLD AUTO PARTS RECYCLERS,GOLD AUTO PARTS RECYCLING,manual
GOLDHABER POLICY SVC,GOLDHABER POLICY SERVICES LLC,manual
GOLDMAN,SUSQUEHANNA INTERNATIONAL GROUP,manual
GOLDMAN SACHS NEW JERSEY,GOLDMAN SACHS,manual
GOOD HEALTH INC,GOOD HEALTH,manual
GOODMAN GABLE GOULC,GOODMAN-GABLE-GOULD ADJUSTERS INTERNATIONAL,manual
GOODMAN GABLE GOULD ADJUSTERS INTERNAT,GOODMAN-GABLE-GOULD ADJUSTERS INTERNATIONAL,manual
"GORDON CHODAK CHAPIN & WOLCH, CPAS, P.","GORDON, CHODAK, CHAPIN & WOLCH, CPAS, P.C.",manual
GPSN,GREAT PUBLIC SCHOOLS NOW,manual
GREENSPOON MARDER LLLP,GREENSPOON MARDER LLP,manual
GREGLEVINE.COM,GREG LEVINE,manual
GROSS BUILDER,GROSS BUILDERS,manual
GROSSMAN PROPERTIES,GROSSMAN COMPANY PROPERTIES,manual
GRT,GRT CORPORATION,manual
GRUBMAN SHIRE & MEISELAS,GRUBMAN SHIRE MEISELAS & SACKS,manual
GRUNBERG MANAGEMENT,GRUNBERG REALTY,manual
GRUNBERG REAL ESTATE,GRUNBERG REALTY,manual
GS HOLDINGS,GOLDEN STATE WARRIORS,manual
GSSPORTS,GOLDEN STATE WARRIORS,manual
GSWARRIORS,GOLDEN STATE WARRIORS,manual
HANGLEY ARONCHICK SEGAL PUDLIN & SCHIL,"HANGLEY ARONCHICK SEGAL PUDLIN & SCHILLER, P.C.",manual
HARVARD,HARVARD UNIVERSITY,manual
HCT,HCT HEALTHCARE TRANSFORMATION,manual
HELPWITHAGING.COM,HELP WITH AGING,manual
HENRY FORD HOSPITAL,HENRY FORD HEALTH SYSTEM,manual
HERBAL LIFE,HERBALIFE,manual
HERZL-NER TAMID CONSERVATIVE CONGREGAT,HERZL-NER TAMID CONSERVATIVE CONGREGATION,manual
HGF,HAROLD GRINSPOON FOUNDATION,manual
HIGHLANDS CAPITAL,HIGHLAND CAPITAL,manual
HILTY'S ELECTRICAL CONTRACTING,HILTY ELECTRICAL CONTRACTING,manual
HK MAMAGEMENT GROUP,HK MANAGEMENT GROUP,manual
HK ORG,HK MANAGEMENT GROUP,manual
HODGES WARD,HODGES WARD ELLIOTT,manual
HODGES WARD ELLIOT,HODGES WARD ELLIOTT,manual
HOLLINGSWORTH RICHARDS AUTOMOTIVE GROU,HOLLINGSWORTH RICHARDS AUTOMOTIVE GROUP,manual
HOLLISWOOD DEVELOPMENT / EDIFICE MANAG,HOLLISWOOD DEVELOPMENT / EDIFICE MANAGEMENT,manual
HOLLYWOOD DEVELOPMENT / EDIFICE MANAG,HOLLYWOOD DEVELOPMENT / EDIFICE MANAGEMENT,manual
"HOLTZ, SLAVETT, DRABKIN & WARNER","HOLTZ, SLAVETT & DRABKIN",manual
"HONEYWELL, SOON TO BE FREEWHEEL (COMCA",HONEYWELL INTERNATIONAL INC,manual
HOUSING INC,PENNANT HOUSING GROUP,manual
HSF KRAMER,KRAMER LEVIN NAFTALIS & FRANKEL,manual
HUGHES & SCALES PC,HUGHES & SCALISE PC,manual
HYUNDAI MOTOR AMERICA,HYUNDAI US NATIONAL HEADQUARTERS,manual
I APPRECIATE YOUR SUPPORT OF THE JEWIS,"DAVID DANIEL, M.D., P.C.",manual
INDUSTRIAL METALS RECYCLING CORPORATIO,INDUSTRIAL METALS RECYCLING CORPORATION,manual
INITIATIVE FOR A COMPETITIVE INNER CIT,INITIATIVE FOR A COMPETITIVE INNER CITY,manual
INTERFAITH MINISTRIES FOR GREATER HOUS,INTERFAITH MINISTRIES FOR GREATER HOUSTON,manual
INTERMOUNTAIN RESIDENTIAL,INTERMOUNTAIN CHILDREN'S HOME,manual
INTERSECTENRTGY,INTERSECT ENERGY,manual
"INTRA-CELLULAR THERAPIES, INC.","INTRA-CELLULAR THERAPIES",manual
INTREPID INVESTORS,INTREPID INVESTMENT BANKERS,manual
INVEMED,INVEMED ASSOCIATES LLC,manual
"IRA KATZ CONSULTANT, INC.","IRA KATZ CONSULTING, INC.",manual
IRIDIAN,IRIDIAN ASSET MANAGEMENT,manual
ISC,INTEGRATED SPECIALTY COVERAGES,manual
JD EHRLICH COMPANY,J.C. EHRLICH CO INC,manual
JEFFERIES,JEFFRIES & COMPANY,manual
JEFFERSON,JEFFERSON HEALTH,manual
JEWBELONG.ORG,JEWBELONG,manual
JEWISH CHILDREN AND FAMILY SERVICES,JEWISH FAMILY & CHILDRENS SERVICES,manual
JEWISH COMMUNITY FOUNDATION GREATER ME,JEWISH COMMUNITY FOUNDATION OF GREATER METROWEST NJ,manual
JEWISH COMMUNITY RELATIONS COUNCIL OF,JEWISH COMMUNITY RELATIONS COUNCIL OF GREATER PHOENIX,manual
JEWISH FAMILY SERVICE,JEWISH FAMILY SERVICES,manual
JEWISH FEDERATION OF GREATER FAIRFIELD,JEWISH FEDERATION OF GREATER FAIRFIELD COUNTY,manual
JEWISH FEDERATION OF GREATER NEW ORLEA,JEWISH FEDERATION OF GREATER NEW ORLEANS,manual
JEWISH FEDERATION OF GREATER PHILADELP,JEWISH FEDERATION OF GREATER PHILADELPHIA,manual
JEWISH FEDERATION OF GREATER PITTSBURG,JEWISH FEDERATION OF GREATER PITTSBURGH,manual
JEWISH FEDERATION OF NORTHERN NEW JERS,JEWISH FEDERATION OF NORTHERN NEW JERSEY,manual
JEWISH PHILANTHROPIES OF SOUTHERN ARIZ,JEWISH PHILANTHROPIES OF SOUTHERN ARIZONA,manual
JFCS,JEWISH FAMILY AND CHILDREN'S SERVICES OF SAN FRANCISCO,manual
JFI,JACOBSON FAMILY INVESTMENTS,manual
JOHNS HOPKINS UNIV - APPLIED PHYSICS L,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,manual
JOHNS HOPKINS UNIVERSITY APPLIED PHYSI,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,manual
JOMORGAN CHASE,JPMORGAN CHASE,manual
JP MORGAN PRIVATE BANK,J P MORGAN SECURITIES,manual
JPMORGAN CASH BANK,JPMORGAN CHASE,manual
JUVO AUTISM & BEHAVIORAL HEALTH SERVIC,JUVO AUTISM & BEHAVIORAL HEALTH SERVICES,manual
KAFTAN COMPANIES,KAFTAN ENTERPRISES,manual
KAISER HOSPITAL/SUTTER HEALTH,KAISER,manual
KAISER PERMANENTE,KAISER,manual
KBT,KASOWITZ BENSON TORRES,manual
KCM,KORENVAES MANAGEMENT LLC,manual
KEE BOOKEEPING,KEE BOOKKEEPING,manual
KEITH SINGER PA,SINGER WEALTH ADVISORS,manual
KELLER WILLIAMS REALTY PROFESSIONALS,KELLER WILLIAMS,manual
KELLY SCIENCE & CLINICAL SERVICING JOH,KELLY SCIENCE & CLINICAL,manual
KENSTON LOCAL SCHOOLS,KENSTON PUBLIC SCHOOLS,manual
KEYES,KEYES AUTOMOTIVE GROUP,manual
KEYES MOTORS,KEYES AUTOMOTIVE GROUP,manual
KEYSTONE,KEYSTONE PROPERTY GROUP,manual
KINTEGRAL ASSET M,KINTEGRAL ASSET MANAGEMENT,manual
KINTEGRAL ASSET MGMT,KINTEGRAL ASSET MANAGEMENT,manual
KINTEGRAL ASSETS MANAGEMENT,KINTEGRAL ASSET MANAGEMENT,manual
KINTEGRAL ASSETS MGMT,KINTEGRAL ASSET MANAGEMENT,manual
KORENVAES MANAGEMENT,KORENVAES MANAGEMENT LLC,manual
KPR,KPR CENTERS,manual
KRAMER LEVIN,KRAMER LEVIN NAFTALIS & FRANKEL,manual
KRAMER LEVIN NATTALISS FRANKEL,KRAMER LEVIN NAFTALIS & FRANKEL,manual
LABEL &CO,"LABEL & CO. DEVELOPMENTS, INC.",manual
LAUSD,LA UNIFIED,manual
LAW FIRM OF PAMELA WEISBERG,LAW OFFICE OF PAMELA WEISBERG,manual
LAW OFFICE DOUGLAS JAFFE,LAW OFFICE OF DOUGLAS E. JAFFE,manual
"LAW OFFICE OF KEVIN R. FISHER, LLCLC","LAW OFFICE OF KEVIN R. FISHER, LLC",manual
"LAW OFFICES IRA BENJAMIN KATZ, A PC","LAW OFFICES OF IRA BENJAMIN KATZ, APC",manual
LAW OFFICES OF ALAN M. COHEN & ASSOCIA,LAW OFFICES OF ALAN M. COHEN & ASSOCIATES,manual
LAW OFFICES OF ELLYN BANK PC,LAW OFFICES OF ELLYN BANK DUGOW PC,manual
"LAW OFFICES OF IRA BENJAMIN KATZ, A P.","LAW OFFICES OF IRA BENJAMIN KATZ, APC",manual
"LAW OFFICES OF KEITH J. COHEN, ESQ., P","LAW OFFICES OF KEITH J. COHEN, ESQUIRE, P.C.",manual
"LAW OFFICES OF KEITH J. COHEN, ESQUIRE","LAW OFFICES OF KEITH J. COHEN, ESQUIRE, P.C.",manual
"LAW OFFICES OF LAWRENCE ELKUS, PROF CO","LAW OFFICES OF LAWRENCE ELKUS, PROFESSIONAL CORPORATION",manual
LAWRENCE B. GILL & ASSOCIATES PC,LAW OFFICES OF LAWRENCE B. GILL PC,manual
LEIFER CAP ADVISERS,"LEIFER CAPITAL ADVISERS, LLC",manual
LIGHTILITY,LIGHITLITY,manual
LINDEN,LINDEN CAPITAL PARTNERS,manual
LIONS BRAND YARN,LION BRAND YARN COMPANY,manual
LISI NIGRIN DESIGNS,LISI NIGRIN INTERIORS,manual
LITTLE HANDS PEDIATRIC OCCUPATIONAL TH,LITTLE HANDS PEDIATRIC OCCUPATIONAL THERAPY,manual
LOUIS D. BRANDEIS CTR. FOR HUMAN RIGHT,THE LOUIS D. BRANDEIS CENTER FOR HUMAN RIGHTS UNDER LAW,manual
LOW VISION SPECIALISTS OF MARYLAND AND,LOW VISION SPECIALISTS OF MARYLAND AND VIRGINIA,manual
MA'AYANOT YESHIVA HIGH SCHOOL FOR GIRL,MA'AYANOT YESHIVA HIGH SCHOOL FOR GIRLS,manual
MADE A DONATION OF $1000. ON OCT.8TH I,HOMEMAKER,manual
MARINE POLYMER TECHNOLOGIES,MARINE POLYMER TECHNOLOGY,manual
MARINER,MARINER WEALTH ADVISORS,manual
MARRIOTT CORPORATION,MARRIOTT INTERNATIONAL,manual
MARSH,MARSH MCLENNAN AGENCY,manual
MARSH & MCLENNAN,MARSH MCLENNAN AGENCY,manual
MCCARTER 7 ENGLISH LLP,MCCARTER & ENGLISH LLP,manual
MCDERMOTT,MCDERMOTT WILL & EMERY LLP,manual
MELTZER LIPPE,MELTZER LIPPE GOLDSTEIN & BREITSTONE,manual
MEMORIAL SLOAN KETTERING CC,MEMORIAL SLOAN KETTERING CANCER CENTER,manual
MERIDIAN,MERIDIAN CAPITAL GROUP,manual
MERRILL,BANK OF AMERICA,manual
META PLATFORMS INC,META,manual
METRO LOFT DEVELOPERS,METRO LOFT MANAGEMENT,manual
METRO REALTY,METROPOLITAN REALTY GROUP,manual
MHE ENTERPRISE,MHE ENTERPRISES,manual
MICH,MUCH SHELIST,manual
MICHAEL KOSS,KOSS CORPORATION,manual
MICHIGAN INSTITUTE FOR NEUROLOGICAL DI,MICHIGAN INSTITUTE FOR NEUROLOGICAL DISORDERS,manual
MICHIGAN INSTITUTE OF NEUROLOGICAL DIS,MICHIGAN INSTITUTE FOR NEUROLOGICAL DISORDERS,manual
MICHIGAN SINUS AND SKULL BASE INSTITUT,MICHIGAN SINUS AND SKULL BASE INSTITUTE,manual
MILEONE HOLDINGS,MILEONE AUTOGROUP,manual
MILLENIUM,MILLENNIUM MANAGEMENT,manual
"MILLER, ROSNICK, D''AMICO, AUGUST & BUT",MILLER ROSNICK D'AMICO AUGUST & BUTLER,manual
MILLERANDROSNICK.COM,MILLER ROSNICK D'AMICO AUGUST & BUTLER,manual
MKOSS,KOSS CORPORATION,manual
MMGA,MEDSTAR HEALTH,manual
MOELIS,MOELIS & COMPANY,manual
MONTEFIORE MEDICAL CENTER,MONTEFIORE,manual
MONUMENT SOTHEBY'S INTERNATIONAL REALT,MONUMENT SOTHEBY'S INTERNATIONAL REALTY,manual
MOODY'S INVESTORS SERVICE,MOODYS,manual
MORGAN STANLEY INVESTMENT MANAGEMENT,MORGAN STANLEY,manual
MORGAN STANLEY PRIVATE WEALTH MANAGEME,MORGAN STANLEY,manual
MORGAN STANLEY PRIVATE WEALTH MANAGEMENT,MORGAN STANLEY,manual
MORRISON COHEN SINGER & WEINSTEIN,MORRISON COHEN LLP,manual
MORTON FRIDMAN,MORTON FRIDMAN MD,manual
MOUN SINAI HEALTH SYSTEM,MOUNT SINAI,manual
MOUNT SINAI HOSPITAL MIAMI BEACH,MOUNT SINAI MEDICAL CENTER,manual
MOUNT SINAI NEW YORK,MOUNT SINAI HOSPITAL,manual
MOUNT SINAI SCHOOL OF MEDICINE,MOUNT SINAI HOSPITAL,manual
"MOUNT SINAI, MEDICAL CENTER, MIAMI BEA",MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),manual
MT.SINAI MEDICAL CENTER MIAMI BEACH,MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),manual
MUCH LAW,MUCH SHELIST,manual
MUCH SHELLIST LLP,MUCH SHELIST,manual
NATIONAL ASSOCIATION OF THERAPEUTIC SC,NATIONAL ASSOCIATION OF THERAPEUTIC SCHOOLS AND PROGRAMS,manual
NATIONAL DISTRIBUTION CO.,NATIONAL DISTRIBUTING COMPANY,manual
NATIONAL FEDERATION OF REPUBLICAN WOME,NATIONAL FEDERATION OF REPUBLICAN WOMEN,manual
NATIONWIDE CREDIT CORPORATION ALEXANDR,NATIONWIDE CREDIT CORPORATION ALEXANDRIA VA,manual
NBCU,NBCUNIVERSAL,manual
NBCUNIVERSAL (INACTIVE STATUS),NBCUNIVERSAL,manual
NCC,NATIONWIDE CREDIT CORPORATION ALEXANDRIA VA,manual
NDC,NATIONAL DISTRIBUTING COMPANY,manual
NEIL SOSKIN COMMERCIAL REAL ESTATE SER,NEIL SOSKIN COMMERCIAL REAL ESTATE SERVICES,manual
"NEVERS, PALAZZO, PACKARD, WILDERMUTH &","NEVERS, PALAZZO, PACKARD, WILDERMUTH & WYNNER, PC",manual
"NEVERS, PALAZZO, PACKWARD, WILDERMUTH","NEVERS, PALAZZO, PACKARD, WILDERMUTH & WYNNER, PC",manual
NEW ENGLAND FRIENDS MARCH OF THE LIVIN,NEW ENGLAND FRIENDS OF MARCH OF THE LIVING,manual
"NEW ENGLAND REAL , ESTATE ACQUISITIONS",NEW ENGLAND REAL ESTATE ACQUISITIONS,manual
NEW YORK SOLAR ENERGY INDUSTRIES ASSOC,NEW YORK SOLAR ENERGY INDUSTRIES ASSOCIATION,manual
NEWCO CPAITAL GROUP,NEWCO CAPITAL GROUP,manual
NFI,NFI INDUSTRIES,manual
NJY,NJY CAMPS,manual
NORTEX,NORTEX WHOLESALE NURSERY,manual
NORTH BAY STEEL MILL RECYCLING.COM,NORTH BAY STEEL MILL RECYCLING,manual
NORTH DALLAS PLASTIC SURGERY ASSOCIATE,NORTH DALLAS PLASTIC SURGERY ASSOCIATES,manual
"NORTHERN VALLEY MEDICAL ASSOCIATION, P",NORTHERN VALLEY MEDICAL ASSOCIATION,manual
NORTHPORT VETERANS AFFAIRS MEDICAL CEN,NORTHPORT VETERANS AFFAIRS MEDICAL CENTER,manual
NORTHSHORE UNIVERSITY HEALTHSYSTEM,NORTHSHORE UNIVERSITY HEALTH,manual
NORTHWESTERN UNIVERSTY,NORTHWESTERN UNIVERSITY,manual
NORTHWETSERN UNIVERSITY,NORTHWESTERN UNIVERSITY,manual
NORTON ROSE FULBRIGHT LLP,NORTON ROSE FULBRIGHT US LLP,manual
NOT EMOLOYED,NOT EMPLOYED,manual
NY LIFE,NEW YORK LIFE,manual
NYLHOLDINGS.COM,NYL HOLDINGS,manual
NYU GROSSMAN SCHOOL OF MEDICINE,NYU,manual
NYU LANGONE,NYU,manual
NYU LANGONE HUNTINGTON,NYU LANGONE HEALTH HUNTINGTON MEDICAL,manual
NYU MEDICAL,NYU,manual
NYU SCHOOLL OF MEDICINE,NYU,manual
NYU SOM,NYU,manual
NYY SCHOOL OF MEDICINE,NYU,manual
OCHSNER HEALTH SYSTEM,OCHSNER CLINIC FOUNDATION,manual
OCHSNER MEDICAL CENTER,OCHSNER CLINIC FOUNDATION,manual
ODELL STUDNER GROUP/ACRISURE,ODELL STUDNER GROUP,manual
OFFICE THE ATTORNEY GENERAL OF VIRGINI,OFFICE OF THE ATTORNEY GENERAL OF VIRGINIA,manual
OLD CITY CAPITAL,OLD CITY INVESTMENT PARTNERS,manual
OLD CITY SECURITIES LLC,OLD CITY INVESTMENT PARTNERS,manual
"OLIVE BRANCH COMMUNICATIONS DE, INC.",OLIVE BRANCH COMMUNICATIONS INC,manual
OMNICOM MEDIA GROUP,OMNICOM GROUP,manual
OPTUM HEALTHCARE,OPTUM,manual
OPTUM MEDICAL,OPTUM,manual
OPTUM TECHNOLOGY,OPTUM,manual
ORACLE AMERICA,ORACLE,manual
ORRICK HERRINGTON AND SUTCLIFFE LLP,ORRICK,manual
ORTHOPEDIC ASSOCIATES OF CENTRAL JERSE,ORTHOPEDIC ASSOCIATES OF CENTRAL JERSEY,manual
ORTHOPEDIC CARE,ORTHOPAEDIC CARE CENTER OF SOUTH FLORIDA,manual
PASCACK VALLEY REGIONAL HIGH SCHOOL BO,PASCACK VALLEY REGIONAL HIGH SCHOOL BOARD,manual
PASTON & SONS INSURANCE,SIMON PASTON & SONS,manual
"PAUL, WEISS, RIFKIND, WHARTON & GARRIS",PAUL WEISS,manual
"PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP",PAUL WEISS,manual
PAYUM RYAN BANAFSHE,"BANAFSHE LAW FIRM, PC",manual
PENINSULA JEWISH COMMUNITY CENTER,PENINSULA JCC,manual
"PENMARK INSUSTRIES, INC",PENMARK INDUSTRIES,manual
PENNANTPARK INVESTMENTS,PENNANTPARK INVESTMENT CORPORATION,manual
PENSAM MANAGEMENT,PENSAM CAPITAL,manual
PEPPERDINE CARUSO SCHOOL OF LAW,PEPPERDINE,manual
PERGAMENT PROPERTIES,PERGAMENT REALTY MANAGEMENT LLC,manual
PHILIPS ELECTRONICS,PHILIPS,manual
"PINKHASOV & ASSOCIATIONS, PLLC","PINKHASOV & ASSOCIATES, PLLC",manual
PMSCO,PM SEGAL AND COMPANY,manual
PORTAGE ADVISORS LLC,PORTAGE ADVISORS,manual
PRECISOIN TASK GROUP,PRECISION TASK GROUP,manual
PREMIER MEDICAL GROUP OF THE HUDSON VA,PREMIER MEDICAL GROUP OF THE HUDSON VALLEY,manual
PRINCETON ENTERPRISE,PRINCETON ENTERPRISES,manual
PRINCETON ORAL AND MAXILLOFACIAL SURGE,PRINCETON ORAL & MAXILLOFACIAL SURGERY,manual
PRINT,PRINT NEW YORK,manual
PRINT THE BOOK AGENCY,PRINT NEW YORK,manual
PRINT-NEWYORK.COM,PRINT NEW YORK,manual
PRIZMAH,PRIZMAH: CENTER FOR JEWISH DAY SCHOOLS,manual
PRO HEALTH PROF SERVICES,PROHEALTH PROFESSIONAL SERVICES,manual
PROGRESSIVE CASUALTY INSURANCE COMPANY,PROGRESSIVE,manual
PZENA INVESTMENT MGMT,PZENA INVESTMENT MANAGEMENT,manual
QTRADE CAPITAL MANAGEMENT,QTRADE HOLDINGS,manual
QUARLES.COM,QUARLES & BRADY,manual
QUEST,QUEST DIAGNOSTICS,manual
RADIUS RECUCLING,RADIUS RECYCLING,manual
RADPARTNERS,RADIOLOGY PARTNERS,manual
RAIN,RAIN MANAGEMENT GROUP,manual
RANCHO SAHUARTIA,RANCHO SAHUARITA MANAGEMENT COMPANY,manual
RASANSKY LAW FIRM,RASANSKY | MCKENZIE,manual
RATNER,RATNER STEEL,manual
RAY CONSTRUCTION .NET/ BBY,RAY CONSTRUCTION,manual
RAYTHEON,RAYTHEON TECHNOLOGIES,manual
REAL ESTATE SERVICE SOLUTIONS CORPORAT,"REAL ESTATE SERVICE SOLUTIONS COMPANY, LLC",manual
REALPAGE.COM,REALPAGE,manual
REGENERON,REGENERON PHARMACEUTICALS,manual
REGIONAL CHAMBER OF COMMERCE SAN GABRI,REGIONAL CHAMBER OF COMMERCE OF SAN GABRIEL VALLEY,manual
RIPCO,RIPCO REAL ESTATE,manual
RIVERGATE EDEN BASIS COMPANIES,RIVERGATE,manual
RMC PRTT,RMC PROPERTY GROUP,manual
ROBERT SELKIN,ROBERT SELKIN MD,manual
ROBERT WOOD JOHNSON PHYSICIAN ENTERPRI,ROBERT WOOD JOHNSON PHYSICIAN ENTERPRISE,manual
ROCHESTER PERIODONTAL & DENTAL IMPLANT,ROCHESTER PERIODONTAL & DENTAL IMPLANTS,manual
RONALD MANN PC,RONALD MANN MD PC,manual
ROSENBERG AUTOMOTIVE HOLDINGS,DSR MOTOR GROUP,manual
ROSEWOOD MANAGEMENT LLC,ROSEWOOD,manual
"RUSSELL A. BIKOFF, ATTORNEY AND COUNSE","RUSSELL A. BIKOFF, ATTORNEY AND COUNSELOR AT LAW",manual
RVP,RELATIVE VALUE PARTNERS,manual
SABRA REIT,SABRA HEALTH CARE REIT,manual
SAGE CAPITAL,SAGE RHINO CAPITAL,manual
SALINAS VALLEY HEALTH,SALINAS VALLEY MEDICAL CLINIC,manual
"SCHOCHOR, STATON, GOLDBERG & CARDEA, P","SCHOCHOR, STATON, GOLDBERG AND CARDEA, P.A.",manual
SCHOOL OF LAW OF BOSTON UNIVERSITY,BOSTON UNIVERSITY,manual
SCHOSTAK COMPANIES,SCHOSTAK BROTHERS,manual
SCHOSTAK FAMILY ENTERPRISE,SCHOSTAK BROTHERS,manual
SCHULTE ROTHE & ZABEL L.L.P.,SCHULTE ROTH & ZABEL LLP,manual
SCHWARTZ PLLC,SCHWARTZ LAW PLLC,manual
SELF - GENE BY GENE,GENE BY GENE,manual
"SELF, PERFECT FOODS",PERFECT FOODS,manual
SELF/WEINER LAW,WEINER LAW,manual
SEMINOLE INVEST MGNT,SEMINOLE INVESTMENT MANAGEMENT,manual
SENIOR HOUSING GROUP (SELF-EMPLOYE,SENIOR HOUSING GROUP,manual
SERVENCO MANGMT INC,SERVENCO MANAGEMENT,manual
"SG360, A SEGERDAHL COMPANY",SG360,manual
SHAPIRO LINN STRATEGIC CONSULTANT,SHAPIRO LINN STRATEGIC CONSULTING,manual
SHAPIRO LINN STRATEGIC CONSULTANTS,SHAPIRO LINN STRATEGIC CONSULTING,manual
"SHEPPARD, MULLIN, RICHTER & HAMPTON LL",SHEPPARD MULLIN,manual
SHL INVESTMENT GROUP USA,SHL INVESTMENT GROUP,manual
SHOREPOINTE NURSING & REHABILITATION C,SHOREPOINTE NURSING & REHABILITATION CENTER,manual
SIERRA STEEL TRADING.COM,SIERRA STEEL TRADING,manual
SIGMA INVESTMENTS,SIGMA INVESTMENT COUNSELORS,manual
SIXTY COLLECTIVE,SIXTY HOTELS,manual
SKAADEN ARPS,SKADDEN ARPS,manual
SKADDEN ARPS SLATE MEAGHER & FLOM,SKADDEN ARPS,manual
"SLAC NATIONAL ACCELERATOR LAB, STANFOR",SLAC NATIONAL ACCELERATOR LABORATORY,manual
SOLOW & CO INC,SOLOW & CO.,manual
SOTHEBY'S INTERNATIONAL REALTY,SOTHEBY'S INTERNATIONAL REAL ESTATE,manual
SOUTH JERSEY ANESTHESIA AND PAIN PHYSI,SOUTH JERSEY ANESTHESIA AND PAIN PHYSICIANS,manual
SOUTHERN CALIFORNIA INTEGRATED WELLNES,SOUTHERN CALIFORNIA INTEGRATED WELLNESS,manual
SPOTTSWOOD SPOTTSWOOD SPOTTSWOOD & STE,SPOTTSWOOD SPOTTSWOOD SPOTTSWOOD & STERLING,manual
ST. LOUIS OFFICE FOR DEVELOPMENTAL DIS,ST. LOUIS OFFICE FOR DEVELOPMENTAL DISABILITIES,manual
ST. PETERS UNIVERSITY HOSPITAL,SAINT PETER'S UNIVERSITY HOSPITAL,manual
"STANFORD UNIVERSITY, SLAC NATIONAL ACC",SLAC NATIONAL ACCELERATOR LABORATORY,manual
STANHOPE FINANCIAL GROUP HOLDINGS LIMI,STANHOPE FINANCIAL GROUP HOLDINGS LIMITED,manual
STAPE & ASSOCIATES AT COMPASS REAL EST,STAPE & ASSOCIATES AT COMPASS REAL ESTATE,manual
STATE,U.S. DEPARTMENT OF STATE,manual
STATE OF GA,STATE OF GEORGIA,manual
STATE OF MD,STATE OF MARYLAND,manual
STATE OF NEW JERSEY,STATE OF NJ,manual
STEARNS WEAVER MILLER WEISSLER ALHA,STEARNS WEAVER,manual
STIFLE NICOLAUS,STIFEL NICOLAUS,manual
"STONE, MEYER, GENOW, SMELKINSON & BIND","STONE, MEYER, GENOW, SMELKINSON & BINDER, LLP",manual
"STONE, POGRUND & KOREY - ATTORNEYS AT","STONE, POGRUND & KOREY - ATTORNEYS AT LAW",manual
STONECOURT,STONECOURT CAPITAL,manual
STONECOURT CAPITAL LP,STONECOURT CAPITAL,manual
STONECOURT CAPITAL PARTNERS,STONECOURT CAPITAL,manual
STRATA EQUITY GLOBAL,STRATA EQUITY GROUP,manual
SULLIVAN LAW,SULLIVAN & WORCESTER LLP,manual
SUNRISE,SUNRISE SENIOR LIVING,manual
SUNSET BOULEVARD MANAGEMENT CORPORATIO,SUNSET BOULEVARD MANAGEMENT CORPORATION,manual
SUPERCLEAN BRANDS,SUPERCLEAN,manual
SURGEONS GROUP OF BATON ROUGE/LAKE PHY,SURGEONS GROUP OF BATON ROUGE / LAKE PHYSICIANS,manual
SUTHERLAND CAPITAL,SUTHERLAND CAPITAL MGMT. INC.,manual
SWEDISH MEDICAL CENTER,SWEDISH HEALTH SERVICES,manual
TAG,TRANSPORTATION AGENT GRID,manual
TCOOPER@RIPCONY.COM,RIPCO REAL ESTATE,manual
TERRACO,TERRACO REAL ESTATE,manual
TEXAS ATTORNEY GENERAL,TEXAS OFFICE OF THE ATTORNEY GENERAL,manual
TEXAS IRON AND STEEL,TEXAS IRON & METAL,manual
THATCH,THATCH HEALTH,manual
THE AGATSTON CENTER FOR PREVENTIVE MED,THE AGATSTON CENTER FOR PREVENTIVE MEDICINE,manual
THE ASSOCIATED: JEWISH FEDERATION OF B,THE ASSOCIATED: JEWISH FEDERATION OF BALTIMORE,manual
