hid,employer_name,verdict,evidence,source_url
130,STEIN ADVISORS LLC,home,The only source is a turnaround-industry association's member directory listing the founder; no company website or business listing shows a public office at this New Canaan residential address.,
138,TIERRAMANO LLC,home,Sole source is the Florida Sunbiz principal/mailing address for the LLC (matching its manager); no company website or business listing shows a public office premises.,
139,TRANSFORMER LAB SERVICES,home,"The only source is a generic EIN-listing PDF aggregator; no company website or business listing shows a public office premises at this Lawrence, NY residential address.",
109,PARKWAY CORPORATION,premises,"Parkway Corporation, a parking-garage operator, has its headquarters at this North Broad Street address in downtown Philadelphia, confirmed by the company's own contact page and business listings.",https://www.parkwaycorp.com/contact-us
106,NATIONAL LUMBER COMPANY,premises,"National Lumber Company is a building-supply retailer operating a six-acre facility at this Pulaski Highway, Baltimore address per Yelp and the Maryland Builders directory.",https://www.yelp.com/biz/national-lumber-co-and-true-value-baltimore
113,PREMIER DENTAL PRODUCTS COMPANY,premises,"Premier Dental Products Co, a dental-products manufacturer, lists this Plymouth Meeting, PA address as its facility per Yelp and industry directories.",https://www.yelp.com/biz/premier-dental-products-plymouth-meeting
118,ROBBINS FIRM,premises,"The Robbins Firm, an Atlanta business litigation law firm, lists this 14th Street NW office as its headquarters on its own site and Yelp.",https://www.robbinsfirm.com/contact/
121,SANTA CLARITA STUDIOS CORP,premises,Santa Clarita Studios operates a 35-stage film/TV production facility at this Valencia address per the company's own site.,https://www.sc-studios.com/
124,SHADER BROTHERS CORP,premises,Shader Brothers Corp operates a self-storage facility at this Orlando Edgewater Drive address per BBB and Yelp business listings.,https://www.bbb.org/us/fl/orlando/profile/storage-units/shader-brothers-corp-0733-23000435
128,SIMONCRE,premises,"SimonCRE, a commercial real-estate development firm, owns and operates its headquarters building at this Scottsdale address per its own site and news coverage of the HQ purchase.",https://simoncre.com/contact-us/
142,TWIN CITY FAN COMPANIES LTD,premises,"Twin City Fan Companies, an industrial fan/blower manufacturer, has its headquarters at this Minneapolis address per BBB and its own contact page.",https://tcf.com/contact-us/
116,REDWOOD APARTMENT LIVING,premises,"Redwood Living Inc, an apartment-community developer, purchased a 50,000-sq-ft former office building at this Independence, OH address as its corporate headquarters.",https://news.byredwood.com/redwood-living-inc-purchases-new-building-for-its-corporate-headquarters-in-independence-ohio/
79,ISLAND CAPITAL GROUP,premises,"Island Capital Group, a real-estate investment/merchant bank, maintains its New York headquarters on the 18th floor of this Fifth Avenue office building per its own contact page.",https://www.islandcapital.com/contact/
77,HOME EXPRESSIONS INC,premises,"Home Expressions Inc, a housewares/home-decor supplier, is headquartered at this Raritan Center business-park address in Edison, NJ per D&B and import-trade records.",https://www.dnb.com/business-directory/company-profiles.home_expressions_inc.6ac96d6d74ae7f0787d74591acfa71f9.html
122,SCHOENBERG MEMORIAL CHAPEL,premises,"Schoenberg Memorial Chapel is a Jewish funeral home operating from this Wilmington, DE address per its own site and BBB profile.",https://www.schoenbergmemorial.com/
86,KNISH SHOP,premises,"Knish Shop is a kosher deli storefront restaurant operating at this Pikesville, MD address on Reisterstown Road per its own listings and reviews.",https://www.yelp.com/biz/knish-shop-pikesville
146,WEBSTER LOCK CO,premises,Webster Lock & Hardware Co is a security/locksmith company operating a storefront at this Bronx address since 1949 per BBB and Yelp.,https://www.bbb.org/us/ny/bronx/profile/locksmith/webster-lock-hardware-inc-0121-41257
136,THE ROBERTS COMPANIES,premises,"The Roberts Companies, a property-management firm, operates its office at this Santa Monica Colorado Avenue address per BBB and Yelp business listings.",https://www.bbb.org/us/ca/santa-monica/profile/apartments/the-roberts-companies-1216-13069591
144,US STANDARD PRODUCTS,premises,"US Standard Products, an industrial/safety-supply wholesaler, is listed at this Englewood, NJ address across multiple business directories and the North New Jersey Chamber of Commerce member directory.",https://business.nnjchamber.com/list/member/us-standard-products-englewood-333
83,KAP'S WHOLESALE FOODS,premises,Kap's Wholesale Foods is a specialty food distributor headquartered in Detroit's Eastern Market at this Maple Street address per its own site and Eastern Market's directory.,https://easternmarket.org/directory/kaps-wholesale-food-services-inc/
85,KIDDESIGNS,premises,"KidDesigns Inc, an electronic-toy/headphone manufacturer, is headquartered at this Rahway, NJ address per D&B, Yelp and Bloomberg company records.",https://www.dnb.com/business-directory/company-profiles.kiddesigns_inc.46ccdeab8a25c3823b4d7a4e6bf7a433.html
108,OPC POLYMERS,premises,"OPC Polymers, a resin/coatings manufacturer, operates its Columbus, OH facility at this Leonard Avenue address per its own contact page.",https://www.opcpolymers.com/contact/
143,TWINCO INDUSTRIAL PRODUCTS,premises,"Twinco Industrial Products' corporate office is located at this South Loop East, Houston address per its own site and D&B/Yelp listings.",https://www.twincoindustrial.com/contact
84,KAWESCH LAW GROUP,premises,"Kawesch Law Group LLC's own website lists this Newton Centre, MA address as its law office, corroborated by Martindale and Super Lawyers firm listings.",https://kaweschlaw.com/contact-us/
92,LEVIN AND ROSENSTEIN,home,"Although law-directory listings show this as the firm's office, this Chinkapin Drive address sits on a single-family residential street of individually owned houses per county tax/property records, with no separate commercial office building evidenced.",
117,RIEDER COMMUNITIES,home,No company website or business listing could be found confirming a public office at this Brooklyn Avenue J address for the real-estate developer; the safe default applies.,
129,SONCO,premises,Sonco Real Estate LLC is one of three commercial tenants at this Elk Grove Village office/commercial building per LoopNet property records and business listings.,https://www.loopnet.com/property/2050-e-devon-ave-elk-grove-village-il-60007/17031-08353010520000/
101,MONROE GROUP,premises,"Monroe Group, an affordable-housing property management company, has operated its headquarters office at this Denver, Evans Avenue address per BBB and news coverage of its planned 2025 office move.",https://www.bbb.org/us/co/denver/profile/property-management/monroe-group-ltd-1296-90255160
134,THE LIVELY FOUNDATION,home,"The foundation's own site lists a personal (sbcglobal.net) contact email and its programs/performances occur at a separate venue (the Mountain View Masonic Center), consistent with the foundation being run from a home office rather than its own public premises.",
119,RSS CAPITAL,home,"No company website or business listing could be found for RSS Capital at this Hollywood, FL address, which county property records show is a street of individually owned homes; the safe default applies.",
140,TRIUMPH DEALER SERVICES,home,"Only a registered-agent/LLC-filing record was found for this company at this Miami Beach address, a residential street; no company website or business listing shows a public office premises.",
107,NOVA CONSULTING,premises,"Nova Consulting is an established (since 1995) civil/environmental engineering and construction-management firm with a dedicated office phone/fax at this Doral, FL address per its own site and business listings.",https://nova-consulting.com/about/
95,LMR ADVISORS,home,"LMR Advisors LLC's own site gives no separate office address; this Mercer Way address is on an exclusively residential waterfront street on Mercer Island, with no business listing showing a public office premises.",
126,SHP REALTY INC,home,"No company website or business listing could be found for SHP Realty at this address, which real-estate listings show is a single-family residential street in Northbrook; the safe default applies.",
103,MORTON FRIDMAN MD,premises,"This is a solo forensic-psychiatry medical practice with its own website (appointment booking, services, contact page) listing this Teaneck, NJ address as its office.",https://www.mortfridmanmd.com/contact
111,PHARMACY BENEFIT CONSULTANTS,premises,"Pharmacy Benefit Consultants, a prescription-benefits consulting firm with its own company website and press coverage of its founder, is listed at this Morristown, NJ address on its Facebook business page and Alignable business directory.",https://pharmacybenefitconsultants.com/
141,TRUCK FAX INC,premises,"Truck Fax Inc, an industrial-scrap brokerage and trucking-data company operating since 1996 with its own company website, is listed at this Shaker Heights address in D&B's company profile and a Yelp business listing.",https://www.dnb.com/business-directory/company-profiles.truck_fax_inc.b8087849ccbeb9d1a3667402b19ecf42.html
76,HMS PARTNERS,home,"No company website or business listing could be found for this firm; the address is a cul-de-sac in a residential Boca Raton subdivision, and the safe default applies.",
80,J.M. EDBERG INVESTMENT MANAGEMENT,home,"The firm's site shows no separate office address; this Bethesda address is on a residential lane, consistent with a small home-based investment-management practice.",
88,LAUDER PARTNERS,home,"The firm's site shows no separate office address; Atherton, CA is an almost exclusively single-family residential town, and Mercedes Lane is a residential street.",
90,LEIFER CAPITAL ADVISERS LLC,home,"No company website or business listing could be found placing a public office at this Newton, MA residential-road address; the safe default applies.",
94,LISI NIGRIN INTERIORS,home,No company website or business listing could be found placing a public showroom/office at this Pikesville residential-street address for the solo interior-design practice; the safe default applies.,
97,MALLARD INVESTMENTS INC,home,"The firm's site shows no separate office address; this Chagrin Falls address is on a residential lane, consistent with a small home-based investment company.",
102,MORGAN LANGUAGE SERVICES CORP,home,"No company website or business listing could be found placing a public office at this Potomac, MD residential-lane address; the safe default applies.",
104,MOYAL DESIGNS LLC,home,"No company website or business listing could be found placing a public studio/office at this Marietta, GA residential-court address for the design LLC; the safe default applies.",
105,MSBD CAPITAL MANAGEMENT CORP,home,"No company website or business listing could be found placing a public office at this Glencoe, IL residential-lane address; the safe default applies.",
115,RED FOX CAPITAL PARTNERS,home,"The firm's own website gives only a phone/email contact with no office address; this Charlotte address is on Queens Road West, a prestigious residential street.",
120,S JONAS ASSOCIATES LLC,home,This Upper West Side Manhattan address (215 W 90th St) is a residential apartment building; no company website or business listing shows a public office there.,
123,SEGAL MANAGEMENT LLC,home,"No company website or business listing could be found placing a public office at this Minnetonka, MN residential-place address; the safe default applies.",
135,THE MINKOFF GROUP,home,No company website or business listing could be found placing a public office at this Oakland hills residential-road address; the safe default applies.,
137,THRIVE FP,home,No company website or business listing could be found placing a public office at this West Austin residential-drive address for the financial-planning firm; the safe default applies.,
145,VAYIKRA CAPITAL LLC,home,"No company website or business listing could be found placing a public office at this Short Hills, NJ residential-road address; the safe default applies.",
147,WESTMORE CAPITAL ADVISORS,home,"The firm's own website gives no office address, only contact info; this Santa Monica address is on a residential place; the safe default applies.",
149,YELLEN & ASSOCIATES,home,No company website or business listing could be found placing a public office at this Westlake Village residential-lane address; the safe default applies.,
