"rid","employer_name","verdict","organisation","address","city","state","zip","source_name","source_url","note"
"441","PEAPACK PRIVATE","corrected","Peapack Private Bank & Trust (NYC financial center)","300 Park Ave","New York","NY","10022","Peapack Private - Park Avenue Financial Center page","https://www.peapackprivate.com/park-avenue-financial-center","Donors are NY-area bankers; Peapack opened this NYC office in 2025, a better metro fit than the Bedminster/East Rutherford NJ corporate address."
"442","PERATON","corrected","Peraton Inc.","12975 Worldgate Drive","Herndon","VA","20170","Peraton official locations page","https://www.peraton.com/contact/locations","Published street number 12901 is outdated; current Herndon HQ per official locations page is 12975 Worldgate Dr."
"443","PHILIPS","corrected","Philips North America (Koninklijke Philips N.V.)","222 Jacobs Street","Cambridge","MA","02141","Cambridge Chamber of Commerce member listing","https://business.cambridgechamber.org/list/member/philips-north-america-49971","Philips moved its North American HQ from Andover, MA to Cambridge, MA around 2020."
"444","PLATINUM DERMATOLOGY","correct","Platinum Dermatology Partners, LLC","9900 N. Central Expressway, Suite 500","Dallas","TX","75231","Platinum Dermatology Partners contact page","https://www.platinumderm.com/contact/",""
"445","PLATINUM EQUITY","correct","Platinum Equity, LLC","360 N. Crescent Drive","Beverly Hills","CA","90210","Platinum Equity contact page","https://www.platinumequity.com/contact-us/",""
"446","PORTAGE POINT PARTNERS","correct","Portage Point Partners","300 North LaSalle, Suite 1420","Chicago","IL","60654","Portage Point Partners contact page","https://portagepointpartners.com/contact/",""
"447","PRICE BENOWITZ","correct","Price Benowitz LLP","409 7th St NW, #100","Washington","DC","20004","Price Benowitz locations page","https://pricebenowitz.com/contact/","Firm has no Hampton Roads (Virginia Beach/Norfolk) office; nearest VA offices are Manassas and North Chesterfield, so HQ is the best fit."
"448","PRIME POLICY GROUP","corrected","Prime Policy Group","1801 K Street NW, Suite 9000","Washington","DC","20006","Prime Policy Group contact page","https://www.prime-policy.com/contact","Firm relocated from 1875 Connecticut Ave NW to 1801 K St NW."
"449","PRIMUS CONSULTING","home_based","Primus Consulting (Dr. Daniel Borison, sole proprietor)","","Beachwood","OH","44122","Primus Consulting (primusmd.com) about/contact pages","https://primusmd.com/","One-physician consulting practice; site's contact page has only a placeholder template address, indicating no public office."
"450","PRIZEPICKS","correct","PrizePicks","1055 Howell Mill Rd NW","Atlanta","GA","30318","PrizePicks press release - new Atlanta HQ","https://www.prizepicks.com/press-news/prizepicks-announces-plans-for-new-expanded-headquarters-in-atlanta","Star Metals Building HQ."
"451","PROCORE","correct","Procore Technologies, Inc.","6309 Carpinteria Ave, Suite 100","Carpinteria","CA","93013","Procore press release - HQ relocation","https://www.procore.com/press/procore-technologies-inc-relocates-headquarters-to-carp",""
"452","PROGRESS RESIDENTIAL","corrected","Progress Residential","1801 Royal Ln, Suite 307","Dallas","TX","75229","Progress Residential office locations page","https://rentprogress.com/locations","Donor is in Dallas TX; company has a Dallas regional office, a better metro fit than the Scottsdale AZ corporate HQ."
"453","PROVATION","correct","Provation","533 S 3rd St, Suite 300","Minneapolis","MN","55415","Provation - Millwright Building HQ page","https://www.provationmedical.com/millwright/",""
"454","QUAD PROPERTY GROUP","correct","Quad Property Group","224 West 30th Street, Suite 206","New York","NY","10001","Quad Property Group contact page","https://quadpropertygroup.com/contact/",""
"455","QUARLES & BRADY LLP","ambiguous","Quarles & Brady LLP","","","","","","","Firm has offices in both donor metros (Chicago IL and Phoenix/Scottsdale AZ) as well as the published Madison WI office; cannot determine which office fits the 3 donors without donor-identifying detail. Candidates: Chicago - 155 N Wacker Dr Ste 3200, Chicago IL 60606; Phoenix - Two N Central Ave Ste 600, Phoenix AZ 85004 (per quarles.com/contact)."
"456","QUEST DIAGNOSTICS","correct","Quest Diagnostics Incorporated","500 Plaza Drive","Secaucus","NJ","07094","SEC EDGAR company filings (CIK 0001022079)","https://data.sec.gov/submissions/CIK0001022079.json",""
"457","RADIUS RECYCLING","correct","Radius Recycling, Inc.","222 SW Columbia St, Suite 1150","Portland","OR","97201","SEC EDGAR company filings (CIK 0000912603)","https://data.sec.gov/submissions/CIK0000912603.json",""
"458","RAINEN COMPANIES","not_found","","","","","","","","UNCHECKED: search budget. Domain guesses (rainen.com, therainencompanies.com, etc.) were parked or unreachable; WebSearch budget exhausted for this run."
"459","RAMAZ","corrected","Ramaz School (Rabbi Joseph H. Lookstein Upper School)","60 East 78th Street","New York","NY","10075","Ramaz School - Contact Us page","https://www.ramaz.org/about/contact-us","Published street number (160) does not match; official site lists 60 East 78th Street for the Upper School."
"460","RAYMOND JAMES","correct","Raymond James Financial, Inc.","880 Carillon Pkwy","Saint Petersburg","FL","33716","SEC EDGAR company filings (CIK 0000720005)","https://data.sec.gov/submissions/CIK0000720005.json",""
"461","RAYTHEON TECHNOLOGIES","correct","RTX Corporation (formerly Raytheon Technologies)","1000 Wilson Blvd","Arlington","VA","22209","SEC EDGAR company filings (CIK 0000101829)","https://data.sec.gov/submissions/CIK0000101829.json","Company renamed to RTX Corporation in 2023; HQ address unchanged."
"462","RECONSTRUCTIONIST RABBINICAL COLLEGE","corrected","Reconstructionist Rabbinical College","1299 Church Road","Wyncote","PA","19095","RRC official Contact Us page","https://www.rrc.edu/contact","Published Bloomfield NJ address is wrong; RRC has always been located in Wyncote, PA."
"463","RECOVERY MANAGEMENT CORPORATION","not_found","","","","","","","","UNCHECKED: search budget. Plausible domain guesses were parked/unreachable; WebSearch budget exhausted for this run."
"464","RED VENTURES","correct","Red Ventures, LLC","1441 Main St, Suite 400","Fort Mill","SC","29715","Built In Charlotte company page","https://www.builtincharlotte.com/company/red-ventures","Confirms Fort Mill, SC as HQ location; exact street/suite retained from existing grounded record as no contradicting source was found."
"465","REDDY RAW INC","correct","Reddy Raw, Inc.","1 Ethel Blvd","Wood-Ridge","NJ","07075","Reddy Raw contact page (via Wayback Machine, site currently down)","https://web.archive.org/web/2024/https://reddyraw.com/contact-us",""
"466","REDEMPTION BANK","correct","Redemption Bank","2020 E Murray Holladay Rd","Holladay","UT","84117","FDIC BankFind institution data","https://banks.data.fdic.gov/api/institutions?filters=NAME:%22Redemption%20Bank%22&fields=NAME,ADDRESS,CITY,STALP,ZIP",""
"467","REDWOOD CAPITAL MANAGEMENT","correct","Redwood Capital Management, LLC","250 West 55th Street, 26th Floor","New York","NY","10019","SEC EDGAR company filings","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=redwood+capital+management&type=&dateb=&owner=include&count=100&output=atom",""
"468","REED SMITH LLP","correct","Reed Smith LLP","225 Fifth Ave","Pittsburgh","PA","15222","Reed Smith - Pittsburgh office page","https://www.reedsmith.com/en/offices/pittsburgh",""
"469","REGIONAL CHAMBER OF COMMERCE OF SAN GABRIEL VALLEY","corrected","Regional Chamber of Commerce of San Gabriel Valley","18800 Amar Rd, Suite B21","Walnut","CA","91789","CauseIQ nonprofit profile","https://www.causeiq.com/organizations/regional-chamber-of-commerce-san-gabriel,421706342/","Published Monrovia address belongs to a different organization (SGV Economic Partnership) as prior evidence noted; confirmed correct chamber via IRS EIN 42-1706342."
"470","REPUBLIC CLOTHING","corrected","Republic Clothing Group","1411 Broadway","New York","NY","10018","Republic Clothing Group contact page","https://www.republicclothing.com/contact","Published W 38th St address is wrong; official site lists 1411 Broadway."
"471","RETAIL MANAGEMENT SERVICES","not_found","","","","","","","","UNCHECKED: search budget. Generic company name; candidate domains (retailmanagementservices.com) are parked, and could not confirm which entity/office fits an Atlanta GA-based VP without search."
"472","RETINAL CONSULTANTS OF AMERICA","corrected","Retina Consultants of America (Long Island Vitreo Retinal Consultants, PC)","600 Northern Blvd, Suite 216","Great Neck","NY","11021","NPPES NPI Registry (CMS) - Brett Rosenblatt MD","https://npiregistry.cms.hhs.gov/api/?version=2.1&last_name=Rosenblatt&first_name=Brett&state=NY","Donor physician Brett Rosenblatt practices at this Long Island practice, part of the Retina Consultants of America network; the Houston TX address published is a different member practice not local to this donor."
"473","RGP","correct","RGP (Resources Connection, Inc.)","15950 North Dallas Parkway, Suite 330","Dallas","TX","75248","SEC EDGAR company filings (CIK 0001084765)","https://data.sec.gov/submissions/CIK0001084765.json",""
"474","RHYTHM MANAGEMENT GROUP","correct","Rhythm Management Group","6116 Executive Blvd, Suite 670","Rockville","MD","20852","NPPES NPI Registry (CMS)","https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=RHYTHM+MANAGEMENT*",""
"475","RIVERON","correct","Riveron Consulting","2515 McKinney Ave, 16th Floor","Dallas","TX","75201","Riveron contact page","https://riveron.com/contact/",""
"476","RIVERPARK CAPITAL","ambiguous","","","","","","","","Several similarly named NY/CA investment firms exist (RiverPark Advisors LLC - 156 West 56th St, Suite 1704, New York NY 10019 per SEC; River Park Capital Partners - Menlo Park CA); none matched the exact name 'RiverPark Capital' or clearly fit a Boca Raton FL-based investment professional."
"477","RJC","correct","Republican Jewish Coalition","50 F St NW, Suite 100","Washington","DC","20001","CauseIQ nonprofit profile (EIN 52-1386172)","https://www.causeiq.com/organizations/republican-jewish-coalition,521386172/",""
"478","RKW RESIDENTIAL","corrected","RKW Residential","8200 NW 33rd Street, Suite 340","Doral","FL","33122","RKW Residential contact page (via Wayback Machine)","https://web.archive.org/web/20240601/https://www.rkwresidential.com/contact","Company has corporate offices in Miami/Doral and Charlotte, not New York; Miami office is the better fit for donors in Aventura/Boca Raton FL. Company has since rebranded to Arqline."
"479","RLF CAPITAL ADVISORS","home_based","RLF Capital Advisors (Richard L. Freundlich, sole proprietor)","","East Hampton","NY","11937","","","Firm name matches donor's own initials (Richard L. Freundlich); small East Hampton address is consistent with a sole-proprietor advisory business."
"480","RLH","not_found","","","","","","","","UNCHECKED: search budget. Published Denver address matches former RLH Corporation (Red Lion Hotels), which was acquired by Sonesta in 2021 and no longer appears in SEC EDGAR; could not confirm any current entity fitting an Irvine CA finance donor without search."
"481","ROADSIDE DEVELOPMENT","corrected","Roadside Development, LLC","3939 Wisconsin Avenue NW, Suite 100","Washington","DC","20016","Roadside Development contact page","https://www.roadsidedevelopment.com/contact","Published Rhode Island Ave address is outdated; firm's current office is on Wisconsin Ave NW."
"482","ROBERT WOOD JOHNSON PHYSICIAN ENTERPRISE","corrected","Robert Wood Johnson Physician Enterprise","3 Executive Drive, Suite 400","Somerset","NJ","08873","NPPES NPI Registry (CMS)","https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=ROBERT+WOOD+JOHNSON+PHYSICIAN*","This physician-enterprise administrative entity's registered office is in Somerset, NJ, distinct from the main hospital's New Brunswick address that was published."
"483","ROCHESTER PERIODONTAL & DENTAL IMPLANTS","corrected","Rochester Periodontal Group PC (dba Rochester Periodontal & Dental Implants)","900 Westfall Rd, Suite B","Rochester","NY","14618","NPPES NPI Registry (CMS)","https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=ROCHESTER+PERIODONTAL*","Published Buffalo Rd address does not match the NPI-registered office for this DBA."
"484","ROCKEFELLER CAPITAL MANAGEMENT","corrected","Rockefeller Capital Management L.P.","45 Rockefeller Plaza, 5th Floor","New York","NY","10111","SEC EDGAR company filings (CIK 0001739439)","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=rockefeller+capital+management&type=&dateb=&owner=include&count=40&output=atom","Published Lexington Ave address is not the firm's SEC-registered principal office."
"485","ROCKEFELLER GLOBAL FAMILY OFFICE","correct","Rockefeller Global Family Office (division of Rockefeller Capital Management L.P.)","45 Rockefeller Plaza","New York","NY","10111","SEC EDGAR company filings (CIK 0001739439)","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=rockefeller+capital+management&type=&dateb=&owner=include&count=40&output=atom",""
"486","ROIVANT SOCIAL VENTURES INC","correct","Roivant Social Ventures Inc. (Roivant Sciences)","1 Pennsylvania Plaza, 54th Floor","New York","NY","10119","Roivant contact page","https://roivant.com/contact/",""
"487","ROKU","corrected","Roku, Inc.","1173 Coleman Avenue","San Jose","CA","95110","SEC EDGAR company filings (CIK 0001428439)","https://data.sec.gov/submissions/CIK0001428439.json","Roku's HQ moved from Los Gatos to San Jose."
"488","ROOMS TO GO","corrected","Rooms To Go","","Seffner","FL","33584","Wikipedia - Rooms To Go","https://en.wikipedia.org/wiki/Rooms_To_Go","Published Venice FL address is wrong; company HQ confirmed as Seffner, FL, but exact current street/suite could not be independently confirmed from an opened primary source, so street is left blank rather than guessed."
"489","ROOSEVELT PAPER","correct","Roosevelt Paper Company","1 Roosevelt Dr","Mount Laurel","NJ","08054","Roosevelt Paper contact page","https://www.rooseveltpaper.com/contact-us",""
"490","ROPES & GRAY LLP","correct","Ropes & Gray LLP","Prudential Tower, 800 Boylston St","Boston","MA","02199","Wikipedia - Ropes & Gray","https://en.wikipedia.org/wiki/Ropes_%26_Gray","Firm's own site is behind a Cloudflare bot-check; Wikipedia and multiple aggregators confirm Boston Prudential Tower HQ matching the published address."
