rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
247,EQ OFFICE,correct,EQ Office,"233 S Wacker Dr, Suite 4700",Chicago,IL,60606,EQ Office careers site (iCIMS) contact info,https://careers-eq-office.icims.com/,HQ address matches published address exactly.
248,EVEREDE TOOL COMPANY,correct,Everede Tool Company,850 W. Hawthorne Lane,West Chicago,IL,60185,US Cutting Tool Institute (USCTI) member directory listing,https://www.uscti.com/u_pages/membership/membership_companies_e_everede.asp,Address matches published address exactly.
249,EVERSHEDS-SUTHELRAND LLP,corrected,Eversheds Sutherland (US) LLP,"600 Peachtree Street NE, Suite 5200",Atlanta,GA,30308,Eversheds Sutherland official Atlanta office page,https://www.eversheds-sutherland.com/en/united-states/locations/offices/atlanta,"Firm relocated from 999 Peachtree St (published address) to Bank of America Plaza, 600 Peachtree St NE Suite 5200."
250,EYESOUTH,correct,EyeSouth Partners,"5775 Glenridge Drive, Building B, Suite 500",Atlanta,GA,30328,EyeSouth Partners official contact page,https://eyesouthpartners.com/contact-us/,Address matches published address exactly.
251,FANNIE MAE,correct,Federal National Mortgage Association (Fannie Mae),"Midtown Center, 1100 15th St NW",Washington,DC,20005,SEC EDGAR company filing address (CIK 0000310522),https://data.sec.gov/submissions/CIK0000310522.json,SEC filer address matches published address exactly.
252,FASHION INSTITUTE OF TECHNOLOGY,correct,Fashion Institute of Technology (FIT),227 West 27th Street,New York,NY,10001,FIT official website footer address,https://www.fitnyc.edu/about/visit/index.php,Published cross-street form (Seventh Ave at 27th St) refers to the same campus; official mailing address is 227 West 27th Street.
253,FDA,correct,U.S. Food and Drug Administration,10903 New Hampshire Ave,Silver Spring,MD,20993,USA.gov federal agency directory listing for FDA,https://www.usa.gov/agencies/food-and-drug-administration,Address matches published address exactly.
254,FEDERAL GOVERNMENT,generic_no_office,,,,,,,,Generic sector/employer term covering many agencies; not one organisation with a single office.
255,FEI,corrected,"Feiner Enterprises, Inc. (FEI Holdings)","7400 E Crestline Circle, Suite 250-EAB",Greenwood Village,CO,80111,"Colorado Secretary of State business entity open-data record for Feiner Enterprises, Inc.",https://data.colorado.gov/resource/4ykn-tg5h.json?$q=Feiner%20Enterprises,"Donors Michael and Daniel Feiner run Feiner Enterprises (real estate family office), not FEI Company/Thermo Fisher; published Hillsboro OR address was wrong company."
256,FELD ENTERTAINMENT INC,corrected,"Feld Entertainment, Inc.",800 Feld Way,Palmetto,FL,34221,Feld Entertainment official contact page,https://www.feldentertainment.com/contact-us,Current HQ street address and ZIP differ from the published PO Box/34220.
257,FELDESMAN LEIFER LLP,correct,Feldesman LLP (formerly Feldesman Leifer / Feldesman Tucker Leifer Fidell LLP),"1129 20th Street NW, Suite 400",Washington,DC,20036,Feldesman LLP official contact page,https://www.feldesman.com/,Address matches published address exactly; firm now branded simply Feldesman LLP.
258,FERRING,corrected,Ferring Pharmaceuticals Inc.,100 Interpace Parkway,Parsippany,NJ,07054,Ferring USA official contact page,https://www.ferringusa.com/contact-us,"US headquarters is Parsippany NJ, not Princeton NJ as published."
259,FLAGSTONE FOODS,correct,Flagstone Foods,"323 N Washington Ave, Suite 400",Minneapolis,MN,55401,Flagstone Foods LinkedIn company page,https://www.linkedin.com/company/flagstone-foods,Address matches published address exactly.
260,FOOT LOCKER,correct,"Foot Locker, Inc.",330 West 34th Street,New York,NY,10001,SEC EDGAR company filing address (CIK 0000850209),https://data.sec.gov/submissions/CIK0000850209.json,SEC filer address matches published address exactly.
261,FORBES,ambiguous,,,,,,,,"Two different donors share employer text FORBES for different organisations: editor Romy Oltuski (NY) fits Forbes Media, Jersey City NJ; managing partner Nathan Forbes (Southfield MI area donor) fits The Forbes Company, a Southfield MI shopping-center developer. Evidence cannot pick one office for this employer string."
262,FORD,correct,Ford Motor Company,One American Road,Dearborn,MI,48126,SEC EDGAR company filing address (CIK 0000037996),https://data.sec.gov/submissions/CIK0000037996.json,SEC filer address matches published address exactly.
263,FORD MOTOR COMPANY,correct,Ford Motor Company,One American Road,Dearborn,MI,48126,SEC EDGAR company filing address (CIK 0000037996),https://data.sec.gov/submissions/CIK0000037996.json,SEC filer address matches published address exactly.
264,FORTITUDE RE,correct,Fortitude Reinsurance Company (Fortitude Re),"10 Exchange Place, Suite 2210",Jersey City,NJ,07302,Fortitude Re official office locations page,https://www.fortitude-re.com/contact-us,Address matches published address exactly.
265,FORTRESS INVESTMENT GROUP,correct,Fortress Investment Group LLC,"1345 Avenue of the Americas, 46th Floor",New York,NY,10105,SEC EDGAR company filing address (CIK 0001380393),https://data.sec.gov/submissions/CIK0001380393.json,SEC filer address matches published city/state/zip; adds 46th Floor detail.
266,FOURSQUARE CORPORATION,not_found,,,,,,,,Donor Jonathan Leffell is a principal at a small real estate/architecture firm called Foursquare Corp (distinct from the Foursquare check-in app company); no page with a confirmed current office address could be opened.
267,FOX NEWS,correct,Fox News (Fox Corporation),1211 Avenue of the Americas,New York,NY,10036,"SEC EDGAR company filing address (CIK 0001754301, Fox Corp)",https://data.sec.gov/submissions/CIK0001754301.json,Address matches published address exactly.
268,FRAGILEPAK,correct,FragilePAK,"2270 Corporate Circle, Suite 220",Henderson,NV,89074,FragilePAK LinkedIn company page,https://www.linkedin.com/company/fragilepak,Address matches published address (LinkedIn omits suite number but street/city/state/zip match).
269,FREEDONIA GROUP,not_found,,,,,,,,"Donor Robert Granader was CEO of MarketResearch.com/Freedonia Group (Rockville MD area), consistent with published city; freedoniagroup.com and directory sites (Cloudflare/paywall) could not be opened to confirm current suite address."
270,FRIEDMAN LLP,corrected,Friedman LLP (now part of Marcum LLP),"One Liberty Plaza, 165 Broadway, 21st Floor",New York,NY,10006,Friedman LLP LinkedIn company page,https://www.linkedin.com/company/friedman-llp,"Firm merged into Marcum LLP and moved from 1633 Broadway (published) to One Liberty Plaza, 165 Broadway."
271,FRIENDS OF THE ISRAEL DEFENSE FORCE,corrected,Friends of the Israel Defense Forces (FIDF),60 East 42nd Street,New York,NY,10165,"ProPublica Nonprofit Explorer (IRS EO BMF), EIN 13-3156445",https://projects.propublica.org/nonprofits/api/v2/organizations/133156445.json,"Organization relocated from 1430 Broadway (published) to 60 E 42nd St, confirming prior spot-check note."
272,FRY-WAGNER,corrected,Fry-Wagner Moving and Storage,"514 Earth City Plaza, Suite 242",Earth City,MO,63045,Fry-Wagner LinkedIn company page,https://www.linkedin.com/company/fry-wagner,"Current office is Earth City MO, not the published Port Plaza Dr/Saint Louis address."
273,FTI,corrected,"FTI Consulting, Inc.","555 12th Street NW, Suite 700",Washington,DC,20004,SEC EDGAR company filing address (CIK 0000887936),https://data.sec.gov/submissions/CIK0000887936.json,"Confirms prior spot check; current HQ is 555 12th St NW, not 1101 K St NW."
274,FTI CONSULTING,corrected,"FTI Consulting, Inc.","555 12th Street NW, Suite 700",Washington,DC,20004,SEC EDGAR company filing address (CIK 0000887936),https://data.sec.gov/submissions/CIK0000887936.json,"Current HQ is 555 12th St NW, not the published 1990 K St NW."
275,GAINSIGHT,corrected,"Gainsight, Inc.","350 Bay Street, Suite 100",San Francisco,CA,94133,Gainsight official website footer,https://www.gainsight.com/company/contact-us/,"Current SF office is 350 Bay Street, not the published 5 3rd St address."
276,GENERATION CAPITAL LLC,not_found,,,,,,,,"Donors (Elissa Wuliger/Zegura, Chagrin Falls OH) suggest a Cleveland-area principal, but could not open a page confirming a current office address for Generation Capital LLC (NY registry and directory sites were blocked)."
277,GENESYS,corrected,"Genesys Cloud Services, Inc.","1302 El Camino Real, Suite 300",Menlo Park,CA,94025,Genesys.com official website footer,https://www.genesys.com,"Current HQ is Menlo Park CA, not the published Daly City CA address."
278,GLEASON CORPORATION,corrected,Gleason Corporation (The Gleason Works),1000 University Avenue,Rochester,NY,14607,Gleason official locations page,https://www.gleason.com/en/contact/locations,"Current HQ is 1000 University Ave, not the published 100 Pleasant St."
279,GLOBAL INDUSTRIAL,correct,Global Industrial Company,11 Harbor Park Drive,Port Washington,NY,11050,SEC EDGAR company filing address (CIK 0000945114),https://data.sec.gov/submissions/CIK0000945114.json,Address matches published address exactly.
280,GOODWIN,correct,Goodwin Procter LLP,100 Northern Avenue,Boston,MA,02210,Goodwin official Boston office page,https://www.goodwinlaw.com/en/locations/boston,Address matches published address exactly.
281,GRANITE POINT MORTGAGE TRUST,corrected,Granite Point Mortgage Trust Inc.,"1114 Avenue of the Americas, Suite 3020",New York,NY,10036,SEC EDGAR company filing address (CIK 0001703644),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=granite+point&type=10-K&dateb=&owner=include&count=40&output=atom,"Current SEC filer address is 1114 Avenue of the Americas, not the published 3 Bryant Park."
282,GRANT THORNTON ADVISORS LLC,correct,Grant Thornton Advisors LLC,"171 N. Clark Street, Suite 200",Chicago,IL,60601,Grant Thornton official Chicago office page,https://www.grantthornton.com/offices,Address matches published address exactly.
283,GREENHOUSE SOFTWARE,corrected,"Greenhouse Software, Inc.","250 W 34th Street, Suite 329",New York,NY,10119,Greenhouse.com official contact page,https://www.greenhouse.com/contact,"Current NY office is 250 W 34th St, not the published 1 Lafayette St address."
284,GREENWICH HOSPITAL,correct,Greenwich Hospital (Yale New Haven Health),5 Perryridge Road,Greenwich,CT,06830,Yale New Haven Health official contact page for Greenwich Hospital,https://www.greenwichhospital.org/about/contact-us,Address matches published address exactly.
285,GSA,correct,U.S. General Services Administration,1800 F St NW,Washington,DC,20405,USA.gov federal agency directory listing for GSA,https://www.usa.gov/agencies/general-services-administration,Address matches published address exactly.
286,GSK,correct,GSK (GlaxoSmithKline),"2929 Walnut Street, Suite 1700",Philadelphia,PA,19104,GSK official US contact page,https://us.gsk.com/en-us/contact-us/,Address matches published address exactly.
287,GUARDIAN PHARMACY,correct,"Guardian Pharmacy Services, Inc.","300 Galleria Parkway SE, Suite 800",Atlanta,GA,30339,SEC EDGAR company filing address (CIK 0001802255),https://data.sec.gov/submissions/CIK0001802255.json,Address matches published address exactly.
288,GUIDEPOST STRATEGIES,corrected,GuidePost Strategies,"1401 H Street NW, 5th Floor",Washington,DC,20006,GuidePost Strategies LinkedIn company page,https://www.linkedin.com/company/guidepost-strategies,"Street matches published address but correct ZIP is 20006, not the published 20005."
289,GURSTEL LAW FIRM PC,correct,Gurstel Law Firm P.C.,6681 Country Club Drive,Golden Valley,MN,55427,Gurstel Law Firm official contact page,https://www.gurstel.com/contact-us,Address matches published address exactly (Minnesota HQ).
290,GXO,correct,"GXO Logistics, Inc.",Two American Lane,Greenwich,CT,06831,SEC EDGAR company filing address (CIK 0001852244),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=GXO+Logistics&type=10-K&dateb=&owner=include&count=40&output=atom,Address matches published address exactly.
291,HARRIS WILLIAMS,corrected,Harris Williams & Co.,"1001 Haxall Point, 9th Floor",Richmond,VA,23219,Harris Williams LinkedIn company page,https://www.linkedin.com/company/harris-williams,"Current HQ street is 1001 Haxall Point, not the published 1001 Fleet St."
292,HARTREE PARTNERS,corrected,"Hartree Partners, LP",1185 Avenue of the Americas,New York,NY,10036,"SEC EDGAR company filing address (CIK 0001597857), recent Form 4 filings through Sept 2026",https://data.sec.gov/submissions/CIK0001597857.json,"Current SEC filer address is 1185 Ave of the Americas, not the published 1 State St."
293,HBK CAPITAL MANAGEMENT,correct,HBK Capital Management (HBK Services LLC),"2300 North Field St, Suite 2200",Dallas,TX,75201,HBK official website office listing,https://www.hbk.com,Address matches published address exactly.
294,HBO,correct,HBO (Warner Bros. Discovery),30 Hudson Yards,New York,NY,10001,HBO LinkedIn company page,https://www.linkedin.com/company/hbo,Address matches published address exactly.
295,HCA,correct,"HCA Healthcare, Inc.",One Park Plaza,Nashville,TN,37203,SEC EDGAR company filing address (CIK 0000860730),https://data.sec.gov/submissions/CIK0000860730.json,Address matches published address exactly.
296,HDT GLOBAL,correct,HDT Global (now BLADE/HDT Global),"30500 Aurora Road, Suite 100",Solon,OH,44139,HDT Global (BLADE) LinkedIn company page,https://www.linkedin.com/company/hdt-global,Address matches published address exactly.
297,HEALTHFIRST,corrected,"Healthfirst, Inc.","100 Church St, Floor 18",New York,NY,10007,"ProPublica Nonprofit Explorer (IRS Form 990), EIN 13-3714932",https://projects.propublica.org/nonprofits/api/v2/organizations/133714932.json,Most recent IRS filing address (100 Church St) differs from published 520 8th Ave address.
298,HEIDEMAN NUDELMAN & KALIK PC,corrected,"Heideman Nudelman & Kalik, PC","5335 Wisconsin Avenue NW, Suite 440",Washington,DC,20015,Heideman Nudelman & Kalik official contact page,https://www.hnklaw.com/contact,Firm relocated from 1140 19th St NW (published) to 5335 Wisconsin Avenue NW.
